start	end	text
30000	59960	请大家发布迪星,我们为了杜一切终生,发醒成佛,为了成佛,我们今天听听听的可,然后大家精精的休心,总有一天一定会成佛的,那么
59960	85520	成佛的时候,我们去杜一切终生,这样子发布迪星,然后我们接下来讲今天的可,那么我们继续讲这个人生难得,那么人生难得的这个可当中前面,我们已经降过了这个霸仙霸,
85520	108040	然后也降了这个是元满,霸仙霸是元满,这个叫做十八下满,十八下满,就是具有这样的条件的,学佛的条件的这个人生,就叫做下满人生,
109040	130040	那么十八下满,我们比较香气地降过了,然后我们今天讲这个最后的三重思维,最后的三重思维就是降人生难得到地有多么的难得,
130040	156040	前面我们讲的是霸仙霸是元满,那么最终就是再降一下它这个到底有多难,多么的难得,那么这个多么的难得,这个从三个方面,一个就将用一种逼于来告诉大家这个人生有多么多么的难得,
157040	180040	另外一个如果我们在下一时再一次要活得,就像我们现在的这个人生这样的话,他的音源需要什么样的音源才能够活得,
180040	192040	那么这个音源有多难得,从他的音源的教读去思考,思考他有多么的难得,
192040	206040	然后第三就是数量,整个生命的数量当中,然后人类的数量特别特别的少,
206040	222040	然后整个人类的这个人口的数量当中,然后学佛的人,就是有这样子的机会有下班人生的人就更假的少,
222040	227040	这样子我们从三个方面思考,
228040	242040	那么这个思考就是我们除了十八个下班,以外就是要人阵地去思考这三个,
243040	263040	十八个下班,一个一个每一个修发,我们要翻幅的去思考,每一个思考体每一个修心的修发有可能要修三天、五天,
263040	275040	或者是一个星期,就是这样子,就根据自己的精读,根据自己的熟活,稍微有一点感觉的时候,
275040	287040	然后就下一个修发,但是我想这个三个月的时间其实很短,
287040	295040	因为这三个月当中我们有不是专门逼关修行,就是大家都要工作,都要上班,
295040	311040	然后上班的旗狱的时间,就是生下来的时间当中去修心,有些人需要上班,有些人需要上壳,这样子的话就是生下来的时间其实也不是很多,
311040	323040	但是只能这样子,只有这样子,我们一方面工作,一方面修心,只有这样子,
323040	331040	所以三个月的时间本来不是很长,再加上我们三个月的时间当中,
331040	341040	实际上我们真正修心的时间很少,这样子的话,小国能达到什么样的程度,
341040	352040	就是不好说,但是我们目前初步就计划就是修三个月,
352040	358040	修三个月,那么三个月的时间,三个月基本上就是100天,
359040	372040	当中大家思考十八个,然后十八个在加上我们今天讲的三种难得,
372040	379040	这样子以后21个非常具体的思维方式,思维的抹石,
379040	392040	那么21个思维方式每一个,我们刚才讲的,比如说三天、五天、一个星期,
392040	400040	根据自己的情况,这样子去修,还有另外两个,
400040	412040	下满当中的闲响,两个就是八中闲响,一共就是16个思维,
413040	424040	那么这个是六个思维呢,八个是,比如说我们现在虽然是有下满的人生,
424040	434040	但是在下满的人生当中,有些银元,有些银元是突然间,
435040	446040	会发生的,比如说尤其是后产生很难空置的这些烦恼,
446040	452040	尤其是后特别特别的携带,三乱等等,
452040	456040	就是因为有了这些音乐以后,
457040	466040	虽然我们本质上我们有了下满的十八中下满,
466040	471040	但是这些问题如果不解决的话,
471040	475040	就也修心还是会受到一些影响,
476040	484040	所以八个突然虽使都有可能发生的这些匿元,
484040	490040	匿院,或者是这些维院,这些我们也要去思考,
490040	493040	这个思考我们这次没有讲,
493040	501040	但是我们另外有以前将国的私家性的光盘里面都有的,
501040	507040	所以大家去思考灰灯之光的书里面也不是很详细,
507040	510040	但是大愿满的前心,
510040	513040	普选上是严交里面有,
513040	520040	那么这些虽是都有可能发生的这些突然性的,
520040	522040	突发性的这些银元,
522040	529040	我们知道自己有这些维院,
529040	533040	有这些学法的障碍的时候,
533040	537040	我们发现自己有这样的障碍的时候,
537040	542040	然后离及采取措施,接受这些问题,
542040	546040	然后继续修心,这样子就可以。
546040	550040	另外一个另外的八种,
550040	552040	另外的八种不嫌强,
552040	558040	就是断除修心的损远,
558040	561040	比如说我们平时在修心,
561040	564040	然后有了八个烦恼,
564040	568040	八个维院障碍出现的时候,
568040	574040	然后它就会断掉我们的学法的修心的一勒,
574040	576040	就不相修心,
576040	583040	有这样子的有八种不嫌强,
583040	586040	也就是说如果有八个障碍,
586040	589040	那么修心不是很圆满,
589040	594040	虽然我们具备了十八种下满的人生,
594040	599040	但是在这个人生上面也会发现
599040	604040	这十六个烦恼障碍,
604040	607040	如果这十六个障碍不解决的话,
607040	610040	不即使解决这些问题的话,
610040	614040	那么他们也会阻挨我们修心,
614040	616040	进步这样子的,
616040	618040	那么这些我们这次没有讲,
618040	623040	但是有其他的我们曾经讲过的光盘,
623040	625040	里面有四位的时候,
625040	629040	我们去观察自己有没有这些问题,
629040	631040	如果有的话,
631040	634040	那么即使出礼,
634040	635040	出礼的方法,
635040	637040	大圆满的前心,
637040	639040	普遣上是严交,
639040	641040	当中讲得很清楚的。
641040	644040	那么这个人生难得的,
644040	647040	我们死杂性里面的第一个家庆,
647040	649040	当中最核心的,
649040	653040	最核心的还是我们这几天讲的,
653040	657040	这些十八个小蛮,
657040	660040	十八个小蛮是最核心的,
660040	663040	但是其余的这个十六个,
663040	667040	我们也得要去思考,
667040	669040	要去修,
