start	end	text
30000	46000	我们现在准备讲课,首先请大家发布迪兴。
46000	54000	普迪兴,我们每次都在讲,都在提醒大家发布迪兴。
54000	61000	普迪兴就是说我们今天听课的目的是什么?
61000	68000	除了我们今天的听课以外,还有我们平时也有稳死休心。
69000	76000	一切都是为了什么呢,必须要有一个很明确的目标。
76000	80000	这个目标就是从大成佛教的教读来讲,
80000	86000	这个目标就是成佛,成佛就是我们的目标。
86000	90000	那成佛的目标是目的是什么呢?
90000	97000	为什么要成佛呢?成佛就可以读中生,可以利益中生,
97000	105000	所以要成佛,我们的学佛的目的是为了成佛。
105000	112000	成佛的目的就是为了利益中生,为了更好的利益中生。
112000	118000	那么我们为了利益中生,要成佛,为了成佛,
118000	126000	我们今天听今天的课,然后一步一步的秀,这个叫做法普迪兴。
126000	131000	这样子的发星,就叫做法普迪兴。
131000	137000	请大家法普迪兴,接下来我们就讲今天的课。
138000	147000	今天的课就是我们最基础的一个课,就是四家心的课,
147000	155000	前面我们已经讲过了人生难得,接下来就是要讲死亡无常,
155000	167000	首名无常,不仅是死亡,不仅是首名无常,万是万无都是无常,
167000	174000	一切又违法,用佛教的话来讲,就是叫做一切又违法。
174000	181000	一切又违法,万是万无,万是万无就是一切又违法。
181000	191000	一切又违法,就是无常,所有的又违法,都叫做无常。
191000	202000	对,无常,虽然是一个最基础的修法,
202000	207000	但是,对我们来说,是一个非常非常重要的修法。
207000	215000	如果没有无常的修法,我们的这些很多文森修,
215000	221000	以及其他的,比如像少像白佛等等这些新山,
221000	228000	都不能成为一个截图的法,也不能成为一个大成的法,
228000	237000	不能成为截图之音,成佛之音,所以无常是非常重要。
237000	244000	我们有些人觉得,我们经常讲这些无常,人生难得,
244000	249000	这些都是很基础的修法。
249000	254000	没有将大圆满,没有将大收音,没有将迷法。
254000	257000	很多人觉得这个很可惜。
257000	265000	很多人觉得这个无常人生难得,这些都是不知的修,
265000	274000	这些都是下等根基的人的修法。
274000	283000	很多人都有这种相反,所以很多人不怎么不太愿意修,无常。
283000	286000	不太愿意修这个死家性。
286000	294000	然后有些人也会说,我们不需要修家心,直接修大圆满,
294000	299000	直接修大收音,这样的话就可以争务了。
299000	303000	其实这个就是一种糊有,根本没有这样的可能,
303000	309000	必须要从这个死家心一步一步地修。
309000	312000	大家必须要了解自己。
312000	319000	我们这么简单的,比如说我们学语文,学书学等等,
319000	325000	这些相对来说,没有那么深好的东西,
325000	331000	这些东西都是从一年级一步一步地学,
331000	335000	一步一步地学,那么像佛法这样的深好的东西,
335000	339000	我们有可能,这些基础都不做了,直接修大圆满,
339000	343000	不可能成功的可能性吗,根本就不可能。
343000	350000	像语文,书学这类的东西,相比之下,
350000	356000	很简单的,像佛教这样的空心,明心,监心,
356000	363000	这些相对来说,语文,书学这些都是非常简单的知识。
363000	368000	但是那年这么简单的知识,我们都要从一年级一,
368000	374000	二年级一步一步一步,从小学中学去学。
374000	383000	这些就是重奋的说明,我们必须要从最基础开始学习,
383000	389000	从最基础开始绣,才会由成功的可能性。
389000	396000	否则的话,我们修大圆满,修大收音,这些都是没有勇动。
396000	401000	所以,如果有人说,我们不需要修人生难得,
401000	405000	不需要修无常,直接可以修大圆满。
405000	411000	这些都完全是忽悠人,完全是有什么其他的目的没有这样子的。
411000	417000	大家必须要从最基础开始绣。
417000	421000	我们今天讲的这个是最基础的这些修法,
421000	426000	修法当中还是向对比较重要的一个修法,
426000	429000	叫做无常的修法。
429000	435000	人生无常,我们大家都知道,在理论上我们每个人都知道,
435000	444000	然后我们的身边也经常会发生太多太多的无常的事情。
444000	453000	然后我们每次在新闻上也经常看到很多很多无常的事情。
453000	462000	但是这些无常,永远都是一个知识,一个理论。
462000	473000	那么这些理论总是不能成为一个我们的修心的懂理。
473000	483000	这是什么原因呢?我们大家都知道,我们总有一天我们每一个人都会死亡。
483000	490000	然后身边的一切都是在变化。
490000	495000	这些我们都非常的清楚,我们几乎没有人不知道这一切,
495000	498000	这些都是很清楚的。
498000	507000	但是这些都不能成为一个东理,这就是永远是一个理论。
507000	512000	这是什么原因呢?就是我们没有修,主要就是我们因为没有修理论上,
512000	519000	我们知道一切,人生难得,学了以后也就基本上知道了人生,
519000	522000	人生是非常难得的。
522000	532000	但是我们修到今天,可能是每一个人的这个修心的程度可能是不一样,
532000	538000	但是我相信每一个人都有一定的变化,需要有一定会有变化。
538000	544000	我们都已经修了好几个月了,好几个月这样子的话,
544000	551000	每个人都一定会有变化,但是这个变化的程度可能是不一样。
551000	558000	这个跟每一个人自己的时间下了多大的功夫,
558000	562000	修了多长时间,这些都有关系的。
562000	568000	但是总的来说每个人都有一定的熟活。
568000	574000	那接下来我们就是要修,古长,我们就要这样子一不一不得,
574000	587000	先修人生难得,让我们认识到生命,我们现在的生命当下的生命是非常非常来自不一的。
588000	600000	然后接下来就是修,古长,修了古长以后,让我们知道人生非常来自不一的。
600000	607000	但是如果不珍惜,不懂得珍惜,不干净修行的话,
607000	618000	这个随时都有可能发生很大的变化,这些都是我们的修行的东礼。
618000	627000	因为我们没有这样子的修行的东礼,所以一开始的时候就取消了大元满大手印。
627000	635000	最后大元满大手印都是修不上曲,没办法争务。
636000	646000	最后对佛法也就没有太大的心信,对修行也没有什么很大的心取,最后就是没有。
646000	654000	最后就是推试,这是一个非常的失败的一个学佛的方法,一个非常失败的。
655000	670000	这个失败是为什么以什么原因,导致的主要的原因,就是我们这些基础的这些修行,这些基础的修法没有修好。
671000	685000	就是因为这些基本的这些东西没有修好,我们的基础不扎实,所以最后就是修不上曲,像大元满大手印,
686000	703000	这些都是非常好的,非常高深的法,非常神奥的法,佛教里面,在佛教里面没有比这些法更深深的,都是非常了不起的。
704000	721000	但是因为我们人的耿极,就是更不上,我们的耿极就是不适应这些法,不适合这些法,所以最后我们还是一无所有,
721000	726000	一开始就去修了大元满大手印,什么都听了,什么都修了。
726000	737000	但是最后没有什么结果,也没有明星艰星,也没有政务大元满,最后就是推试,越来越没有行星。
738000	756000	然后这个时候,因为我们很多人的文思不道为,文思不道为,缺乏了对佛教的整体的人士,这样子以后我们就会觉得这个是什么问题,
756000	764000	我们不认这个时候,我们不觉得是自己的问题,我们会觉得这是佛法的问题。
764000	777000	学了佛,修了星,也没有政务了,也没有政务,所以最后就是对佛法是去行星,所以我说这个是很失败的。
777000	799000	那么如果我们从人生难得无常这样子一步一步,修这样子的话,就是一定会有守火的,一定会有变化的,我们的内心党中一定会产生变化,这个变化是不是往坏的方面变,就是往好的方面变。
799000	823000	就是比如说我们有修了人生难得以后有明显的变化,然后修了无常以后也有明显的变化,然后后面的几个修法,每一个修法都有,每一个修法都有守火,都就带来了一些变化。
823000	834000	这个变化就是让我们在修信的道路上,做得越做越好,它就是成为修信的动力。
834000	847000	然后在这个基础上,一步一步修,四家性、五家性都修完了以后我们再去修产丁,最后再去修大圆满,或者是大收音、产宗都可以的。
847000	874000	这样子才有机会,争务,才有机会争务,所以我们从佛教的教度来讲,比如说我们从世宿的这个,从这个世宿的教度讲,我们有可能有博士,有研究生,大部分都是大学生,这样子的。
875000	892000	但是从佛教的教度来讲,我们今天大家都是小学生,大家都是小学生,幽轮远的学生,所以我们还是要去学一下,比较适合我们的法。
893000	908000	比较适合我们的法,是什么呢?就是人生难得,死亡无常,这样子,让我们一步一步的取,一步一步的挑争自己的形态。
908000	924000	因为我们的内在的,我们的价值观当中,就有很多很多的这些世宿的,不争取的,扶面的价值观。
925000	942000	这些价值观,就是导致了什么呢,就是导致了,就是让我们不想学佛,不想修心,更加的蓝多,更加的实宿,勇恕,导致这些。
942000	953000	那么这些价值观,我们要通过文思和通过修心来慢慢的挑争,一步一步的挑争。
954000	966000	当然,如果我们有一天能够争务了空心,所有的问题就是一下子就解决了,但是我们现在这种可能性不大,
966000	979000	所以我们要把我们的这些不好的这些观念,要一步一步的挑争,因为这些都是在修心的道路上,在学佛的道路上,
979000	994000	我们的这些观念都是障碍,这些障碍,我们想争务空心,大圆满的智慧来一下子全部,
994000	1002000	这些所有都断掉,可能性不大,因为我们的根迹没有那么的好,
1002000	1020000	所以我们比如说用人生难得,这样子的修法来调来解决我们在之前不懂得珍惜人生,不懂得珍惜生命,
1020000	1028000	不懂得珍惜我们当下的机会,这样子的这个难度用这个方法来解决,
1028000	1042000	然后生命无常,用生命无常的这种修法来推翻,我们就平时我们在生活当中觉得死亡,
1042000	1052000	我们很遥远,总有一天大家都知道会死的,但是我们每一天都觉得,
1052000	1056000	今天我一定不会死的,我们每一天都有这种修法,
1056000	1064000	这种修法到林种的时候还会有的,就在汤在冰窗上,
1064000	1074000	就是当天有亡生的那一天,遭伤,他睁开眼睛的时候,还是有这种修法,今天我不会死的,
1074000	1082000	他每一天都有这样子的,除了寄少数的人,就是修心少为比较好的人,
1082000	1090000	知道他自己什么时候走动,这样子的人以外我们其他的人,
1090000	1099000	几乎就是,几乎所有人都是这样子,知道我们总有一天会死的,
1099000	1106000	有一天是我们的死亡的有一天,但是这个不是今天,
1106000	1112000	明天我们也会认为不是今天,然后我们一年的365天,
1112000	1117000	我们每一天都会觉得不是今天,不会今天不会死的,
1117000	1123000	甚至是汤在冰窗上,就是要当天死亡的那一天,
1123000	1128000	我们还是怎么认为今天我也不会死的,总有一天会死的,
1128000	1135000	但是今天不会死,每一天都是这么想,每一天都这么认为,
1135000	1145000	就是这种电道的不符合诺集,不符合事实的这种观念,
1145000	1154000	这种观念叫做佛教里面叫做长治,就是唱助不谜的执着,
1154000	1162000	这个执着导致了什么呢,导致了我们蓝,每个人都很蓝,不想修心,
1162000	1168000	不想修心,如果想修的话,那也就像我明天修,后天修,
1168000	1175000	明年修,推修了以后去修,就是这样子,一直都拖延,
1175000	1182000	一直都拖延,最后就是所有的机会,所有的这些机会都已经戳裹了,
1182000	1187000	最后就是没有办法,所以这种问题我们怎么样解决,
1187000	1193000	这种问题就是通过无畅来解决,我们很多很多很多的人就说,
1193000	1199000	我很蓝,很蓝,就是在修心的道路上不仅仅怎么办,
1199000	1205000	这个唯一的最好的办法就是修无畅,很多人说,
1205000	1210000	就是因为我很蓝不仅仅,我许不需要念什么周,
1211000	1218000	念周也许有帮助,比如说我们年金刚萨朵的周等等这样子的话,
1218000	1226000	亲近了爷仗,然后对修修心感兴趣,有这样子的帮助,
1226000	1233000	但是这个帮助是间接的,不是直接的帮助,直接的帮助,
1233000	1239000	如果我们要向出一个最有小的方法的话,
1239000	1243000	最好就是这两个人生难得死亡无畅,
1243000	1246000	如果这两个修法真的修得好的话,
1246000	1252000	我们人从此以后不会蓝多,从此以后一定会很仅仅的。
1254000	1259000	那么我们的前一个修法就是人生难得的修法,
1259000	1265000	应该是我们今天在左的大家都修过了这个人生难得的修心,
1265000	1270000	那么我们就要回顾一下,或者是我们也要观察一下,
1270000	1277000	自我坚察一下,我们的修心的小国大到了什么样的程度,
1277000	1283000	到底有没有什么这个小国,这个非常重要,
1284000	1287000	它的表准是什么呢,大约满的前行,
1287000	1292000	普遷上市研究这里面,就是据了一个离子,
1292000	1297000	据了一个离子,大家都这个由中文版大家都知道的,
1297000	1303000	有一个人,他非常非常勇功,非常尽尽的有一个人,
1303000	1309000	他自从学佛了以后,他没有睡过脚,
1309000	1313000	没有睡过脚,然后他的上市就告诉他,
1313000	1317000	还是人还是要睡脚的,还是要休息的,
1317000	1322000	如果不休息,会生病的,还是休息一下吧,
1322000	1328000	然后这人就说,我一向,我一绣这个人生难得的时候,
1328000	1334000	根本就没有去睡脚去休息,这样子的兴趣,
1335000	1341000	因为生命的每一分,每一秒,每一刻都是太太太,
1341000	1346000	珍贵了,我不像浪费这个人生这个手命,
1346000	1349000	所以我就一绣人生难得的时候,
1349000	1352000	就不像去休息,不像睡脚,这样子的,
1352000	1356000	我们要达到这种程度是很难的,
1356000	1361000	这个是一个很高的表准,我们当然不可能,
1361000	1366000	我们永远都不睡脚本身就不可能的,
1366000	1370000	但是我们还是要看看我们有没有什么变化,
1370000	1375000	比如说,我们没有休息的人生难得的时候,
1375000	1383000	不太冬则珍惜我们当下的这些世界,
1383000	1388000	不太觉得人生有多珍贵。
1389000	1393000	我们的生命的每一分,每一秒,
1393000	1399000	不觉得有这么的珍贵,之前没有休,之前是这样子。
1399000	1405000	然后休了以后,确实是发自离心的感觉到了,
