start	end	text
0	2000	詞曲 李宗盛
30000	36000	詞曲 李宗盛
37000	40000	請大家發菩提心
40000	42000	我們今天
42000	45000	為什麽聽渴
45000	47000	聽渴的目的
47000	49000	是什麽呢
49000	51000	這個就是
51000	53000	這個就叫做菩提心
53000	55000	那麽目的是什麽呢
55000	57000	目的當然就是為了
57000	59000	利益終生
59000	61000	我們為了更好的利益終生
61000	63000	我們
63000	65000	要成佛
65000	67000	因為我們
67000	69000	如果不成佛的話
69000	71000	那我們沒有辦法
71000	73000	利益終生
73000	75000	不但是沒有辦法利益終生
75000	77000	也沒有辦法利益我們自己
77000	79000	所以
79000	81000	我們要成佛
81000	83000	成佛的目的
83000	85000	就是為了更好的利益終生
85000	87000	那麽怎麽樣成佛呢
87000	89000	就是要修心
89000	91000	才能夠成佛
91000	93000	成佛就是要修心
93000	95000	唯一的方法
95000	97000	就是修心
97000	99000	那麽修心
99000	101000	怎麽樣去修
101000	103000	我們要去學習
103000	105000	首先我們去學
105000	107000	成佛的這些方法
107000	109000	修心的方法
109000	111000	那麽所以
111000	113000	我們今天
113000	115000	來聽可
115000	117000	就是這樣的這個叫做
117000	119000	菩提心
119000	121000	簡單的說我們每一個人都
121000	123000	就
123000	125000	發心
125000	127000	我們要杜化一切終生
127000	129000	那麽
129000	131000	為了杜化一切終生
131000	133000	為了糾堵一切終生
133000	135000	我要成佛
135000	137000	為了
137000	139000	成佛
139000	141000	我今天學習修心
141000	143000	這樣子就可以了
143000	145000	這個就叫做菩提心
145000	147000	發菩提心
147000	149000	然後接下來我們
149000	151000	就聽今天的可
151000	153000	那麽今天的可
153000	155000	這個可呢
155000	157000	在這個整個佛教裏面
157000	159000	最最最基礎的
159000	161000	一個可
161000	163000	最基礎的
163000	165000	最基本的一個功可
165000	167000	那麽這個
167000	169000	雖然是最基本的
169000	171000	但是
171000	173000	這層次不是很高
173000	175000	但是呢
175000	177000	我們現在需要的不是
177000	179000	層次很高的法
179000	181000	因為這個比如說像
181000	183000	大圓滿
183000	185000	大收音等等
185000	187000	這些密宗裏面講的這些
187000	189000	高深的法
189000	191000	還有就是比如說
191000	193000	漢傳佛教的這個
193000	195000	禪宗講的明星間行
195000	197000	等等
197000	199000	高深的法
199000	201000	雖然是這個級別很高
201000	203000	很深奧的
203000	205000	但是呢
205000	207000	這些法從目前
207000	209000	從目前的情況看
209000	211000	先展示
211000	213000	不太適合我們
213000	215000	不適應
215000	217000	所以我們
217000	219000	就是要選擇一個
219000	221000	層次比較低的
221000	223000	這樣子的法
