start	end	text
0	2000	詞曲 李宗盛
30000	36000	請大家發菩提心
36000	42000	我們為了度一切終生
42000	45000	為了利益一切終生
45000	48000	我們發行成佛
48000	50000	為了成佛
50000	53000	我們今天聽這個咳
53000	56000	然後大家努力的修心
56000	58000	這樣子的話
58000	61000	總有一天我們一定會成佛的
61000	64000	佛經裡面講
64000	68000	我們所有的終生都有佛心
68000	74000	佛心就是一個銀
74000	76000	還有需要一個圓
76000	80000	圓就是我們自己的學習和修心
80000	82000	我們本身
82000	84000	我們每一個人的心中
84000	86000	有佛心
86000	90000	有一個非常圓滿的一個銀
90000	95000	再加上我們的學習和努力
95000	99000	這也是一個圓滿的一個圓
99000	102000	這個銀和圓
102000	103000	具備的時候
103000	108000	我們每一個終生都會成佛的
108000	110000	佛經就這樣
110000	111000	所有的終生
111000	113000	就在這個世界上的
113000	115000	所有的終生
115000	118000	終有一天都會成佛的
118000	122000	但是時間有遭完
122000	124000	我們的根基
124000	126000	成熟的時間
126000	130000	有些終生成熟得比較早
130000	133000	有些終生成熟得比較晚
133000	135000	但是總的來說
135000	137000	大家都會成佛的
137000	140000	所以我們要發心
140000	142000	我們一定要成佛
142000	146000	這就是我們的聖聖寺寺的
146000	148000	生命生存的目標
148000	152000	也就是我們的總的奮鬥的方向
152000	155000	那麼我們的生命當中
155000	158000	不同的生命階段
158000	160000	有不同的追求
160000	162000	有不同的目標
162000	165000	但是這些所有的目標和追求
165000	168000	都是臨時的
168000	172000	我們的永久的
172000	174000	或者是重機的目標
174000	175000	是什麼呢
175000	178000	就是截圖和成佛
178000	181000	然後成佛的目的
181000	183000	成佛的目的
183000	185000	為了更好的利益終生
185000	187000	為了更好的幫助
187000	189000	所有的終生
189000	191000	那麼所謂的幫助
191000	194000	也就是不僅僅是
194000	198000	在這些終生的生活上去幫助
198000	200000	就是要讓他們成佛
200000	203000	讓他們脫離聖老賓司
203000	205000	這個就叫做幫助
205000	208000	這就叫做達成佛教的幫助
208000	211000	那我們就是為了更好的幫助
211000	213000	一切終生
213000	215000	所以我們要學佛
215000	217000	所以我們要修心
217000	218000	這樣子的
218000	222000	這是我們不管學佛修心
222000	226000	或者是我們少相拜佛等等
226000	228000	任何一個時候
228000	230000	我們的目標就是這樣子
230000	232000	這個我們之前
232000	234000	大家應該是學過
234000	236000	散書生
236000	239000	散書生裡面的發心
239000	241000	發佛的心
241000	243000	應該是大家都比較清楚的
243000	246000	所以我們每次都要發佛的心
246000	248000	這個非常的重要
249000	252000	接下來我們就繼續講
252000	256000	人生難得
256000	258000	那麼人生難得
258000	259000	我們上一次也講過了
259000	264000	我們佛教裡面的最基礎的課程
264000	266000	最基礎的課程
266000	269000	首先我們要瞭解
269000	271000	我們自己的生命
271000	273000	生命的價值
273000	276000	然後瞭解我們的生命
276000	277000	有很多方面
277000	279000	比如說我們瞭解
279000	281000	我們的生命的真相
281000	284000	然後瞭解我們的生命的價值
284000	285000	等等
285000	288000	有很多很多不同的角度
288000	291000	去瞭解這個時間
291000	294000	瞭解我們自己的生命
294000	296000	瞭解自我
296000	299000	這些都是我們要一步一步的學
299000	302000	那麼在人生難得
302000	303000	這個當中
303000	305000	我們怎麼樣去瞭解
305000	307000	我們的生命
307000	311000	它不是去瞭解我們的生命的本質
311000	313000	而是去瞭解
313000	316000	我們的生命的價值
316000	318000	這一生當中
318000	323000	我們應該去做什麼
323000	325000	應該去追求什麼
325000	329000	應該往什麼方面去努力
329000	332000	就是這樣
332000	334000	其實我們工作
334000	336000	賺錢等等
336000	339000	這些都是為了生存
339000	341000	那麼生存了以後
341000	346000	我們生存的目標是什麼
346000	348000	生存也應該有一個目標
348000	350000	比如說我們
350000	352000	大家都很忙
352000	354000	為什麼呢
354000	356000	就是為了工作
356000	358000	為什麼要工作呢
358000	360000	就是為了賺錢
360000	362000	為什麼要賺錢呢
362000	363000	就是為了生存
363000	366000	最後就是為了生存
366000	369000	那麼生存是為了什麼呢
369000	371000	我們很多人就不知道了
371000	374000	生存就是為了生存
374000	375000	這樣子的話
375000	378000	就跟東武一樣的差不多的
378000	379000	生存
379000	381000	生存就是為了生存
381000	383000	其實這樣子的話
383000	387000	意思就是說生存是沒有目標
387000	389000	生存就是沒有目標的
389000	391000	就是為了生存
391000	393000	這樣子生存是沒有目標
393000	397000	這種生存
397000	399000	這種生活
399000	402000	其實就是非常的空虛
402000	404000	很空虛無聊
404000	407000	甚至就是很痛苦
407000	408000	這樣子的
408000	413000	那麼生存也應該有一個目標
413000	415000	那麼生存的目標是什麼呢
415000	417000	當然有很多種
418000	420000	我們
420000	422000	我們這一生
422000	425000	我們選擇了修新
425000	427000	提升自己的生命
427000	431000	精華我們自己的心靈
431000	435000	潦脫生死
435000	438000	這個就是我們的生存的目標
438000	439000	所以呢
439000	440000	我們前幾天也講過
440000	442000	比如說我們去工作
442000	443000	上班
443000	445000	這些都需要的
445000	448000	為什麼這些都是為了生存
448000	449000	然後呢
449000	451000	我們另外還需要一個
451000	452000	這是什麼
452000	456000	修新大作
456000	457000	這兩個都需要
457000	459000	比如說我們說
459000	461000	我們不上班
461000	462000	不工作
462000	464000	大家去修新
464000	465000	不現實
465000	466000	這是為了
466000	468000	因為大家都要生存
468000	470000	所以要去工作
470000	472000	要去賺錢
472000	473000	這是一個
473000	474000	另外一個呢
474000	476000	另外一個極端是什麼呢
476000	479000	至知道去賺錢
479000	481000	至知道去工作
481000	483000	不懂得修新
483000	485000	這個也是一個極端
485000	488000	這樣子的話我們
488000	489000	這一生當中
489000	492000	雖然是賺了再多再多的錢
492000	495000	最終也沒有太大的意義
495000	497000	這個我們大家都比較清楚的
497000	499000	而且這個世界上
499000	501000	越來越多的人
501000	502000	發掘
502000	504000	實際上就是這樣子
504000	506000	50年前
506000	507000	60年前
507000	509000	或者是100年前
509000	511000	或者是18世紀
511000	512000	19世紀
512000	514000	這樣子的時候呢
514000	516000	我們全世界的人
516000	518000	都不太理解
518000	519000	這樣子的話
519000	520000	其實這種
520000	522000	這個華
522000	524000	是2500多年前
524000	525000	釋迦牟尉佛降
525000	526000	但是這個世界上
526000	528000	真正能夠
528000	529000	體會到的
529000	531000	或者是能夠理解的人
531000	533000	不是很多的
533000	535000	那麼現在呢
535000	537000	大多數的人
537000	539000	比較了解
539000	541000	金錢
541000	543000	也就是說
543000	545000	已經有了很多
545000	547000	有錢的人
547000	548000	這樣子以後
548000	550000	大家都比較了解
550000	553000	物質生活的時候
553000	555000	大家也就
555000	557000	比較了解
557000	560000	比較理解釋迦牟尉佛降的這些華
560000	562000	而且我們這個
562000	564000	能夠理解
564000	566000	這樣子的話的人
566000	567000	是越來越多
567000	568000	不是越來越少
568000	570000	越來越多
570000	571000	那是為了
571000	572000	為了什麼呢
572000	574000	因為我們有機會
574000	576000	去竭逐
576000	578000	龐大的物質生活
578000	579000	這個時候呢
579000	580000	我們
580000	582000	就是總覺得
582000	584000	還有少了一個東西
584000	585000	那是什麼呢
585000	587000	就是精神上的
587000	589000	就是精神上的東西
589000	590000	那麼今天
590000	591000	作為一個
591000	592000	標準的佛教徒
592000	593000	作為一個
593000	595000	二十一世紀的佛教徒
595000	596000	這樣子的話
596000	597000	一方面
597000	599000	相信科學
599000	600000	然後呢
600000	601000	一方面要去專欠
601000	602000	我們也要去
602000	604000	學很多很多的這些
