start	end	text
0	4800	會登禪修課十一 輪回痛苦
4800	7840	此成羅珠康布獎獸
7840	11640	更多課程請訪問康布官方網站
11640	14760	三 W.會登之光點抗
90000	94000	三 W.會登禪修課十一 輪回痛苦
94000	95240	此成羅珠康布獎獸
95240	98360	更多課程請訪問康布官方網站
98360	102000	三 W.會登禪修課十一 輪回痛苦
102000	103760	此成羅珠康布獎獸
103760	106880	更多課程請訪問康布官方網站
106880	111200	三 W.會登禪修課十一 輪回痛苦
111200	114720	此成羅珠康布獎獸
114880	118720	三 W.會登禪修課十一 輪回痛苦
118720	119960	此成羅珠康布獎獸
119960	123080	更多課程請訪問康布官方網站
123080	128720	三 W.會登禪修課十一 輪回痛苦
128720	131920	此成羅珠康布獎獸
131920	135280	更多課程請訪問康布官方網站
135280	138560	三 W.會登禪修課十一 輪回痛苦
138560	141720	此成羅珠康布獎獸
141720	145880	更多課程請訪問康布官方網站
145880	149560	三 W.會登禪修課十一 輪回痛苦
149560	152280	此成羅珠康布獎獸
152280	154280	更多課程請訪問康布官方網站
154280	157720	三 W.會登禪修課十一 輪回痛苦
157720	160720	此成羅珠康布獎獸
160720	163720	大家好 現在發布提醒
163720	167720	我們今天繼續將課
167720	169720	然後將課之前
169720	171720	請大家要發布提醒
171720	174720	我們為什麼要將課
174720	176720	為什麼要聽課
176720	178720	為什麼要修心
178720	180720	就是需要一個目標
180720	182720	這個目標我們昨天 天天
182720	184720	每一天都將過了
184720	185720	這個目標是什麼呢
185720	189720	就是大成佛教的這個目標
189720	191720	就是布提醒
191720	194720	為了杜儀切終生
194720	196720	為了幫助儀切終生
196720	198720	我要成佛
198720	200720	為了成佛
200720	204720	我今天來學習修行
204720	207720	這樣子就叫做布提醒
207720	211720	這個布提醒我們前幾天也將過
211720	217720	我們目前還沒有到修布提醒的底部
217720	221720	因為修心它有此敵
221720	224720	此敵非常的重要
224720	227720	我們按照修心的此敵
227720	229720	不一步的修
229720	231720	就一定會有進步
231720	234720	如果我們沒有按照這個此敵
234720	237720	去修的話就不一定有進步
237720	242720	所以我們現在目前就在修出力心
242720	245720	我們出力心修完了以後
245720	248720	然後再去修普提醒
248720	249720	這樣子
249720	253720	所以我們還沒有到修布提醒的底部
253720	258720	但是我們每一次大左的石頭
258720	260720	挺可的石頭
260720	262720	還我們每一次
262720	265720	比如說少像白佛這樣子
265720	268720	每一次心閃的時候
268720	271720	都要發布提醒非常的重要
271720	273720	雖然我們沒有一個
273720	276720	不一定有一個很標準的布提醒
276720	277720	但是都沒問題的
277720	281720	有造作的布提醒
281720	283720	也是很不容易的
283720	284720	也是非常非常好
284720	286720	只要有這個心
286720	288720	這個是非常非常不錯的
288720	290720	那麼真正的布提醒
290720	294720	標準的布提醒當我們真正
294720	297720	去修了這個布提醒的修法
297720	301720	以後才會有這個標準的布提醒
301720	304720	可能需要一點點的時間
304720	307720	這個也有一個國城
307720	310720	但是我們現在挺可的時候
310720	311720	也要
311720	313720	不管是標準的也好
313720	314720	不標準的也好
314720	317720	就是要有一個這樣子的這個台獨
317720	319720	這個很重要的
319720	321720	首先發布提醒
321720	325720	然後接下來我們聽今天的課
325720	327720	那麼今天的課
327720	329720	我們昨天這樣了
329720	331720	上面我們降過了這個
331720	334720	輪迴的同庫
334720	336720	輪迴的通庫
336720	338720	然後輪迴的通庫
338720	341720	我們就是國區
341720	343720	我們很多人對佛教
343720	346720	就是有很多的誤會
346720	348720	有很多的誤解
348720	349720	為什麼呢
349720	351720	因為第一個是我們
351720	354720	不了解這個佛法
354720	356720	另外一個我們也聽到了
356720	357720	很多很多這個
357720	360720	負面的這樣子的旋船
360720	361720	在這種情況下
361720	363720	我們對佛教有很多
363720	366720	這個參剩了很多的這個
366720	367720	誤解
367720	369720	比如說我們認為佛教
369720	370720	裡面降
370720	371720	通庫
371720	373720	佛教是很悲觀
373720	375720	然後佛教很小極
375720	378720	這樣子的相反
378720	380720	很多人是有的
380720	381720	那麼我們這次呢
381720	385720	正好也在講這個輪迴同庫
385720	386720	那很多時候呢
386720	388720	佛教裡面講
388720	390720	整個的輪迴
390720	391720	整個的輪迴
391720	393720	整個的六到輪迴
393720	395720	全部都是同庫
395720	397720	是充滿了同庫的
397720	400720	沒有任何的這個幸福課研
400720	402720	很多時候就
402720	404720	很多時候這樣子告訴我們
404720	406720	那這句話就是
406720	408720	讓很多人就產生誤會
408720	411720	那這個確實是佛教
411720	412720	很悲觀
412720	414720	很小極
414720	416720	有這樣子的這個
416720	418720	不過我們不深入的去了解
418720	420720	了解不到為
420720	422720	的話就會有這樣子的問題
422720	425720	但是這個問題我們
425720	426720	曾經也講過很多
426720	428720	做我們昨天也就
428720	430720	給大家踢過這個問題
430720	432720	其實佛
432720	434720	他也並不是說
434720	435720	這個輪迴裡面
435720	439720	那沒有任何的幸福和這個快樂
439720	440720	這個不可能的
440720	441720	為什麼呢
441720	443720	為什麼不可能呢
443720	447720	有新山和造嘴
447720	449720	有兩個這樣子的兩個印
449720	451720	有山的銀
451720	452720	和有惡的銀
452720	454720	有兩種銀
454720	455720	有了兩種印
455720	457720	就一定會有兩種
457720	458720	不同的國
458720	460720	有不同的國
460720	461720	那麽造嘴
461720	463720	最的這個國
463720	464720	是什麽呢
464720	465720	當然是同庫
465720	467720	那麽新山
467720	469720	閃的國寶是什麽呢
469720	470720	是不是也是同庫呢
470720	472720	那如果閃
472720	474720	新山也是同庫
474720	476720	造嘴也是同庫
476720	477720	那這樣子的話
477720	481720	兩個都是一樣的結果的話
481720	483720	那為什麽叫做新山
483720	484720	為什麽叫做山
484720	486720	不就兩個都不就是惡夢
486720	491720	所以這個不能成立
491720	492720	所以
492720	494720	因為有兩個銀
494720	497720	也自然就會有兩種不同的國
497720	499720	那閃的國是什麽呢
499720	501720	閃的國那肯定是
501720	503720	幸福和快樂
503720	504720	幸福和快樂
504720	506720	如果我們說這個輪迴裡面
506720	509720	根本就沒有幸福和快樂
509720	510720	那這樣子我們新山
510720	512720	不就是沒有勇了嗎
512720	514720	所以這個什麽不對的
514720	516720	所以佛不否定
516720	518720	這個輪迴當中
518720	519720	有幸福
519720	521720	有快樂
521720	523720	但是佛為什麽說
523720	524720	輪迴裡面
524720	526720	沒有幸福和沒有這個快樂
526720	528720	為什麽這麽僵呢
528720	530720	這個我們必須要這樣子了解
530720	531720	我們要這樣子理解
531720	535720	這是因為我們世俗的人
535720	537720	我們的教育
537720	541720	或者是我們的先天的這種相法
541720	542720	是什麽呢
542720	545720	我們就覺得
545720	547720	這個輪迴裡面
547720	550720	有很多的幸福
550720	553720	可以我們可以得到
553720	556720	然後我們就為了這個幸福
556720	558720	然後我們很多的這些
558720	561720	同苦都忽略
561720	563720	都不去想
563720	565720	那不去想
565720	567720	但是我們該面對的時候
567720	569720	都要面對的
569720	571720	那我們
571720	573720	比如說我們想的都是幸福
573720	575720	想的都是幸福
575720	577720	想的都是快樂
577720	579720	然後同苦這一面
579720	582720	我們根本就沒有去思考這個問題的話
582720	585720	那自然我們也不會去做任何的準備
585720	587720	不會做準備
587720	588720	因為我們沒有過渡的
588720	590720	過渡的去向這個時期
590720	593720	那我們也沒有去做任何的準備
593720	596720	那沒有準備的這個情況下
596720	598720	如果有一天我們要面對
598720	601720	那這個時候我們確實是沒有任何的
601720	603720	沒有任何的辦法去面對
603720	606720	比如說我們平時
606720	610720	平時不缺乎不休心的人
610720	612720	然後去提捷
612720	613720	提捷的時候
613720	615720	請告訴我們
615720	617720	就是只有兩個月的時間
617720	618720	只有五個月的時間
618720	619720	只有半年的時間
619720	621720	那這個時候
621720	623720	我們這些這樣子的人
623720	625720	的這個心情
625720	626720	是什麼樣子
626720	628720	我們大家都是非常的清楚的
628720	631720	如果稍微有一點點準備的話
631720	633720	如果稍微有一點準備的話
633720	635720	面對的方法是不一樣的
635720	636720	那他
636720	639720	他也許還是回韌國
639720	640720	難守
640720	642720	但是他有
642720	644720	他有有有有
644720	645720	有辦法
645720	646720	取面對
646720	648720	他也能夠接受
648720	649720	他認為這個
649720	650720	就是一個
650720	652720	正常的一個
652720	654720	這個自然的規律
654720	656720	就是我們的生命的自然的規律
656720	658720	所以他也
658720	660720	接受第一個他可以接受
660720	662720	然後接受了以後
662720	663720	他就有
663720	664720	有辦法
664720	666720	解決這個問題
666720	667720	所以
667720	668720	不管是
668720	670720	只剩下三個月
670720	671720	或者六個月
671720	672720	也沒問題
