start	end	text
0	2760	慧登禪修課十二
2760	4760	輪迴痛苦
4760	7760	慈承羅珠坎布講授
7760	11760	更多課程請訪問坎布官方網站
11760	15760	3W.慧登之光.com
60680	63680	慧登禪修課十二
69680	72680	慧登禪修課十三
78320	81320	慧登禪修課十四
91000	94000	慧登禪修課十五
100000	103000	慧登禪修課十六
108000	111000	慧登禪修課十七
115000	118000	慧登禪修課十八
121000	124000	慧登禪修課十五
129000	132000	慧登禪修課十七
137000	140000	慧登禪修課十八
145000	149000	慧登禪修課十九
150000	153000	慧登禪修課十八
161000	164000	我們現在準備講課
164000	167000	首先請大家發菩提心
167000	170000	我們每天都在講
170000	174000	聽課之前要發菩提心
174000	177000	如果我們沒有發菩提心的話
177000	180000	我們大左修心
180000	183000	還有就是火上香、白佛等等
183000	186000	這些所有的心善
186000	189000	都不能稱為大乘佛教
189000	192000	所以我們每次都要修菩提心
192000	195000	修菩提心需要有慈悲心
195000	198000	如果沒有強大的慈悲心的話
198000	201000	這個菩提心確實是沒有那麼容易
201000	204000	說起來這個菩提心
204000	207000	說起來這個菩提心
207000	210000	不是很難
210000	213000	但是真正要修菩提心的話
213000	216000	還是需要時間
216000	219000	需要下功夫
219000	222000	但是不管需要多長時間
222000	225000	或者需要下多大的功夫
225000	228000	我們必須要去發菩提心
228000	231000	但是真正的去修菩提心
231000	234000	下一次修吾嘉心的時候
234000	237000	才開始真正的修
237000	240000	那麼我們現在聽課的時候
240000	243000	簡單的去想一下
243000	246000	我要為了幫助
246000	249000	或者是為了度
249000	252000	天下所有的終生
252000	255000	要成佛
255000	258000	下決心就是我要成佛
258000	261000	我們這一輩子
261000	264000	我們每個人都有很多目標
264000	267000	有很多的理想
267000	270000	要賺很多錢
270000	273000	要買更大的房子
273000	276000	要換車
276000	279000	但是不能沒有一個目標
279000	282000	這個是我們的長遠的目標
282000	285000	不是這一輩子的目標
285000	288000	這個目標是什麼呢
288000	291000	我們的一個總的目標
291000	294000	就是我要我的存在的意義
294000	297000	或者是活著的意義
297000	300000	生存的意義是什麼
300000	303000	或者是我輪迴的意義
303000	306000	或者是進化生命進化的意義
306000	309000	是什麼呢
309000	312000	就是要利益終生
312000	315000	那麼利益終生
315000	318000	最好的利益終生是什麼呢
318000	321000	我們讓所有的終生明白
321000	324000	明白怎麼樣解脫
324000	327000	然後他們自己
327000	330000	根據他們自己的力量去學習
330000	333000	修心最後每一個人
333000	336000	每一個終生都能夠走上
336000	339000	解脫道
340000	343000	我們要幫助所有的終生
343000	346000	首先我們自己要成佛
346000	349000	成了佛以後
349000	352000	我們可以讓天下所有的終生
352000	355000	也成佛
355000	358000	所以我們發佛這樣的菩提心
358000	361000	為了成佛
361000	364000	我們今天停課
364000	367000	停了課以後
368000	371000	這叫做菩提心
371000	374000	這樣子發了菩提心以後
374000	377000	我們接下來就降今天的課
377000	380000	今天的課我們昨天
380000	383000	根據昨天的輪迴的痛哭
383000	386000	我們今天繼續講
386000	389000	佛教將流導輪迴
389000	392000	流導輪迴
392000	395000	除了佛教以外
395000	398000	我們全世界的
398000	401000	所有的宗教裡面
401000	404000	沒有這麼詳細的去描述
404000	407000	輪迴
407000	410000	佛教講的是非常非常清楚的
410000	413000	聖祀輪迴
413000	416000	尤其是比如說
416000	419000	忍得轉世輪迴
419000	422000	很多人不相信
422000	425000	很多人是不相信的
425000	428000	主要的原因是什麼呢
428000	431000	第一個我們看不見
431000	434000	我們對一個普通人來說
434000	437000	這個人死了以後
437000	440000	我們確實是不知道他到底有沒有轉世
440000	443000	他去哪裡我們都不知道
443000	446000	所以我們大多數的人
446000	449000	在某些地方
449000	452000	用全世界的範圍來講的話
452000	455000	其實以人口當中
455000	458000	有信仰的和沒有信仰的
458000	461000	有信仰的多
461000	464000	但是有信仰的這些人當中
