start	end	text
0	7000	慧登禪修课 14 因果不虚
7000	10000	慈承罗珠坎布讲授
10000	14000	更多课程请访问坎布官方网站
14000	17000	3w.慧登之光.com
30000	34000	慧登禪修课 14 因果不虚
34000	37000	慈承罗珠坎布讲授
37000	40000	更多课程请访问坎布官方网站
40000	43000	3w.慧登之光.com
43000	46000	慈承罗珠坎布官方网站
46000	49000	3w.慧登之光.com
49000	52000	慈承罗珠坎布官方网站
52000	55000	3w.慧登之光.com
55000	58000	慈承罗珠坎布官方网站
58000	61000	3w.慧登之光.com
61000	64000	慈承罗珠坎布官方网站
64000	67000	3w.慧登之光.com
67000	70000	慈承罗珠坎布官方网站
70000	73000	3w.慧登之光.com
73000	76000	慈承罗珠坎布官方网站
76000	79000	3w.慧登之光.com
79000	82000	慈承罗珠坎布官方网站
82000	85200	3w.慈承罗珠坎布官方网站
85200	89200	3w.慈承罗珠坎布官方网站
89200	92200	3w.慈承罗珠坎布官方网站
92200	95200	3w.慈承罗珠坎布官方网站
95200	98200	3w.慈承罗珠坎布官方网站
98200	101200	3w.慈承罗珠坎布官方网站
101200	104200	各位佛友 大家晚上好
104200	107200	我们现在开始讲今天的课
107200	110200	今天的课是我们慧登禅修版的
110200	113200	是我们这个慧登禅修版的
113200	116200	这个《四家性的壳》
116200	119200	《四家性的壳》里面的
119200	122200	就是这个最后一个
122200	125200	是《因果不徐》
125200	128200	就是这个《因果不徐》的壳
128200	131200	那么在这个之前呢
131200	134200	首先请大家发菩提心
134200	137200	这个我们每一天都在讲
137200	140200	发菩提心是非常非常重要
140200	143200	所以我们每一次都要提醒大家
143200	146200	发菩提心
146200	149200	然后这个我们不仅仅是
149200	152200	我们今天上课的时候 听课的时候
152200	155200	平时我们行禅的时候
155200	158200	比如说学习 修行
158200	161200	然后就是包括少相拜佛
161200	164200	任何时候都要
164200	167200	发菩提心
167200	170200	哪怕是一个非常糟糕的
170200	173200	不标准的菩提心也可以的
173200	176200	要发菩提心
176200	179200	菩提心我们简单地说
179200	182200	下两个决心
182200	185200	下定决心 两个决心
185200	188200	什么决心 首先要下决心
188200	191200	我要从现在开始
191200	194200	要利益众生
194200	197200	要帮助天下所有的众生
197200	200200	这个就是我的生存的目标
200200	203200	人生的目标
203200	206200	下一世我们不一定是一个人生
206200	209200	不管是什么生命
209200	212200	反正就是我的生存的目标
212200	215200	就是这个
215200	218200	这是我的最重要的生存的目标
218200	221200	最重要的生存目标
221200	224200	赚一点钱 日子稍微过得好一点
224200	227200	都没关系的
227200	230200	最重要的头等大事
230200	233200	首先下决心
233200	236200	然后第二个决心
236200	239200	为了达到这个目标
239200	242200	我要成佛
242200	245200	因为如果不成佛的话
245200	248200	我们根本就没有办法取利于众生
248200	251200	不可能的
251200	254200	所以就是为了实现这个
254200	257200	这个梦想
257200	260200	佛教徒的梦
260200	263200	佛教徒的梦想就是
263200	266200	为了度一切众生 成佛
266200	269200	这就是我们所有达成佛教徒的梦
269200	272200	就是为了实现这个梦想
272200	275200	我从现在就开始好好学习修心
275200	278200	这样子的两个决心
278200	281200	就叫做菩提心
281200	284200	希望大家高度重视菩提心
284200	287200	这是我们达成佛教里面的精化
287200	290200	也就是整个达成佛教的基础
290200	293200	非常非常的重要
293200	296200	接下来我们就讲今天我们的
296200	299200	因果不许的课程
299200	302200	因果不许的课是
302200	305200	释迦心里面的最后一个课
305200	308200	但是这个
