start	end	text
0	4760	慧登禪修课十七
4760	7800	因果不虚五
7800	11120	慈承罗珠坎布讲授
11120	15080	更多课程请访问坎布官方网站
15080	18200	3W.慧登之光.com
90080	93000	音队 excel.ctorsاء
95000	97000	电 mundkh Armenian
99960	100640	according.
103160	107700	ende
107720	110120	外国和常渤
110120	112000	顿包晃
112000	113000	相撑
113040	114800	老
115760	118000	各位导游大家晚上好
118800	119960	阿弥陀佛
120720	122800	我们现在开始讲
123640	125200	今天的课
125200	129800	那么今天的课是惠灯禅修的课
130600	133760	惠灯禅修的课到目前为止
133760	136000	我们已经讲了
136000	138800	这个讲人生难得
138960	141160	然后就是生命无常
141400	142680	轮回的痛苦
142680	145000	这些我们都已经讲过了
145600	146240	然后
146560	148400	这个因果不叙
148400	149160	当中
149160	154000	也就基本上就讲完了
154000	155400	这个因果不叙
155680	156760	但是
156760	161880	这个因果不叙的最后的一些内容
161880	165160	我们就补充一下
165160	166160	实际上
166160	168520	因果不叙的
168520	174680	具体的修法和具体的主要的这些内容
175400	177400	实际上是已经是讲过了
178400	181560	大家都应该是记得
181560	188040	上一次我们给大家讲的思维的方式
188040	192600	由60个思维的方式
192600	195240	60个思维的方式
195240	197240	四个结果
197240	200000	这个大家都应该是记得
201200	203200	60个思维的方式
203720	207200	我们的这些大圆满的这些书
207200	209800	里面虽然没有这么讲
209800	211800	但是实际上
211800	214400	这些内容都是有的
214400	216600	我们总结了以后
216600	221200	把大圆满的潜心里面讲的这些内容
221200	222520	总结了以后
222520	226800	就是有60种思维的方式
226800	227920	然后
227920	232920	通过60个思维的方式
233640	237840	最后就会得四种结论
237840	240840	这个大家都应该是比较清楚的
242840	247640	60个思维的方式
247640	249560	比如说
249560	251040	是善
251040	252560	是不善
252560	254440	然后每一个
254440	256760	比如说是不善
256760	258000	当中的第一个
258000	258920	比如说
258920	260560	杀生
260560	265960	那就是有三种不同的思维的方式
265960	268400	第一个是什么
268400	270520	什么叫做杀生
270520	274640	什么样的杀生是有追果的
277320	280040	这个善恶营果
280040	281280	善恶营果
281280	283560	就是善和恶
283560	286080	那么善也有十种
286080	287640	恶也有十种
287680	291160	这个恶就是不是不善
291160	294520	是不善当中的杀生
294520	295600	首先
295600	297360	我们去思考一下
297360	299600	什么叫做杀生
299600	302400	在什么样的情况下
302400	308560	就成为有追果的杀生
308560	312080	首先去思考杀生
312080	314280	然后
314280	315480	这是第一个
315480	317040	然后第二个
317080	319320	再去思考杀生
319320	322880	他有什么样的国宝
322880	323840	杀生
323840	326720	他有会有什么样的国宝
326720	329000	国宝都有
329000	331920	有四个不同的国宝
331920	332800	医术国
332800	333960	灯柳国
333960	334360	等等
334360	336800	有四个不同的国宝
336800	339480	这个我们都已经讲过了
339480	340440	然后
340440	344000	第二就是去思考他的国宝
344000	346360	然后第三
346520	351960	我们自己曾经有没有造过这样的罪
351960	355520	我们自己有没有杀过神
355520	358400	有没有造过杀生的罪
358400	359560	这个要去思考
362440	363280	这是第三
364800	366000	这样子以后
366000	367960	比如说杀神
367960	371880	也有这样的三种思考的方法
371880	372640	然后
372640	373520	投岛
373520	374360	杀生
374360	375880	投岛
375880	377440	亡鱼等等
377440	381840	释布山每一个都有这样子的三种不同的
382840	387040	这种思维的方式
387040	388400	这样子以后
388400	389640	释布山
389640	392520	每个有三种不同思维的方式
392520	394640	一共就是三十个
394640	399440	一共是三十个不同的思维的方式
401040	403280	这是释布山
403280	403840	然后
403880	404960	闪
404960	405680	善
405680	406920	也有一样的
406920	407440	比如说
407440	408080	首先
409200	410320	施善
410320	412720	施善当中的第一个
412720	414600	不杀生
414600	415800	首先
415800	417600	这个不杀生
417600	419520	什么样叫做不杀生
419520	422120	这个我们上一次也讲过了
422120	423240	比如说
423240	425360	我们今今是不去杀生
425360	430400	这个是不是属于施善当中的不杀生呢
430400	432360	不是
432360	436960	不杀生和施善当中的不杀生
436960	439240	这个是不一样的
439240	441200	不杀生呢
441200	443200	比如说
443200	445920	我们除了人以外
445920	447600	很多
447600	449000	很多其他的
449000	450720	比如说
450720	451920	其他的物质
451920	452920	比如说
452920	453840	房子
453840	455560	车子等等
455560	456440	很多东西
456440	458760	他们也不会去杀生
458760	459560	但是
459600	461720	这个就是不能说
461720	464760	他们在心善
464760	466400	还有就比如说
466400	467880	对人来说
467880	468400	人
468400	470920	比如说我们很多人
470920	471760	也就
471760	475240	也有不杀生的这样子的人
475240	476840	不杀生的人
476840	477960	但是呢
477960	481640	他这个是不是这个善业呢
481640	482560	那也不一定
482560	484120	他只是不杀而已
484120	484880	实际上
484880	488320	他有可能是一个唯无论者
488360	493080	他有可能根本就没有善恶的概念
493080	495040	但是他也不去杀生
495040	498400	比如说像婴儿
498400	501440	当他是婴儿的时候
501440	503640	他没有去杀生
503640	506240	没有去杀生
506240	507800	但是他没有杀生
507800	508760	这个不杀生
508760	511280	是不是他在心善呢
511280	512680	不是心善
512680	515040	他只是没有杀生而已
515040	517640	这个还不叫善
517680	519160	这个也不叫恶
519160	521000	也不叫善
521000	522960	那什么样的情况下
522960	528280	这个不杀生就变成了这个是善之一呢
528280	529720	这个我们上一次讲过了
529720	535120	就是要从内心当中下觉醒
535120	538560	就是从今以后不杀生
538560	540080	不投刀
540080	541400	这样子以后呢
541440	550480	才能够成为这个是善当中的不杀生
550480	552360	那每一个都是这样子
552360	553680	不杀生
553680	555080	不投刀
555080	556560	不枉于
556560	560160	这些都是需要这样子的这个发心
560160	562040	有了这个发心
562040	565640	才能够成为这个是善
565640	568720	这个就是我们已经讲过了
568760	572760	首先这样子去思考什么是善
572760	573680	然后呢
573680	574680	再去思考
574680	578200	那这个善会有什么样的国宝
578200	580480	比如说不杀生
580480	581520	那不杀生
581520	583800	他会有什么样的国宝
583800	587320	经解质去思考这个
587320	588160	然后呢
588160	590640	第三个就是
590640	592960	第三个就是去思考
592960	599440	自己曾经有没有这个心这样子的善
599440	603080	有没有这个发过不杀生的这个心
603080	606320	有没有下觉醒不杀生
606320	608960	要去看一下自己的这个情况
608960	612720	最后要去看一下自己的情况
612720	613600	这样子以后呢
613600	615920	每一个这个不杀生
615920	617000	不投刀
617000	618160	每这样子以后
618160	622320	每一个每一个都有这样子的三个不同的
622360	624960	这个思维的方式
624960	626360	这样子以后呢
626360	627360	善
627360	630800	每一个都有三种不同思维的方式的话
630800	632160	那就这个思
632160	635480	这个施善就有三十个
635480	637480	不同的这个思维的方式
639960	641280	加起来就是
641280	642760	善有三十个
642760	644080	不善也有三十
644080	647520	一共就是六十个思维的方式
647520	650120	这个我们上一次已经讲过了
650160	653320	大家应该有思考
655120	656520	大家应该有思考
656520	658520	我们上一次呢
658520	660040	讲的是这个
660040	662760	比如说释不善当中
662760	664000	就杀生
664000	666360	这个讲得比较清楚了
666360	667640	然后投刀
667640	669680	协应等等
669680	672320	这些其他的这个
672320	674440	其他的这个释不善呢
674440	676000	没有一个一个的讲
676000	677280	因为这个不需要讲
677280	679960	这个大圆满的潜心
679960	681480	普显上是沿较
681480	683400	这本书里面呢
683400	686800	讲得非常的这个清楚
686800	689280	讲得很清楚了
689280	693760	如果这个大圆满的这个潜心
693760	696160	里面的有一些个别的地方
696160	698160	不是很清楚的话
698160	699720	那我们可以看
699720	701360	苏大季刊布
701360	705800	以前这个降过这个大圆满的潜心
705800	708840	从头到尾都降过了
709000	712560	我们可以看这个资料
712560	713960	看视频
713960	715800	或者是看书
715800	716360	都可以
717880	719400	还有一个就是
719400	720520	义兮彭祖刊布
720520	721800	他也讲过
721800	722320	他也讲过
722320	723520	这都是一样
723520	725520	所以我觉得我们不需要
725520	729160	每一个人都讲一个这个思家信
729160	731360	因为这些资料都是一样
731360	733360	这都是大家都可以拥有的
733360	734400	所以呢
734400	737600	我们第一个就是杀生
737680	740480	怎么样去思考思维
740480	743040	这个给大家讲清楚了以后
743040	744680	然后一刺雷腿
744680	748720	这个偷刀也是这样子去思考
748720	749280	然后呢
749280	752040	谐音也这样子去思考
752040	754760	思考的方式都是一样
754760	758160	所以我们上一次
758160	763040	就把这个杀生的思维的方式
763040	764320	讲得比较细节
764320	766320	比较相习了
766320	767840	其他的没有讲
767840	769480	但我觉得应该是没问题
769480	774200	大家都能够自己看书
774200	774880	看视频
774880	777080	这样子就没问题了
777080	778280	那到今天为止
778280	783440	我们这个思家信当中的
783440	786880	因果不许的思维的
786880	789320	修行的这个时间
789320	790280	已经是差不多
790280	791720	最后就有一点点
791720	795560	这个我们今天再补充一下就可以了
795560	799280	如果我们有些个别的师兄
799280	801920	还没有修完的话
801920	804000	这个时间还没有够的话
804000	806680	还是需要去思考
806680	811160	我们的这个回灯参修的
811160	814280	这个要求是不搞的
814280	818520	就是就对一个商班族来讲
818520	820200	也是能够完成
820200	822440	一天就一个小时
822480	824600	一天就一个小时的
824600	828680	打坐思维这样子的时间
828680	831880	这个其实这个要求不是很高
831880	833360	然后除了一天
833360	836200	这个一个小时以外的时间
836200	839720	自己可以去走路的时候
839720	841200	坐车的时候
841200	844000	也去思考一下这些内容
844000	846200	就可以主要是一个小时
846320	852800	上次我们的这个
852800	857160	我们安排了150个小时
857160	860800	这个我现在应该大家应该是完成了
860800	862480	如果还没有完成的话
862480	866000	那就把这个要修完
866000	868400	那150个小时
868400	871560	就是一天一个小时
871560	874440	那这个当中是不是一定会
874800	878680	对因果是不是一定会有
878680	880600	坚定不已的信心
880600	881880	也不一定
881880	884440	因为我们每一个人的情况不一样
884440	888720	可能有些人不需要那么长的时间
888720	893240	就很快对因果就是有
893240	897200	产生坚定不已的信心
897200	901680	那有些人虽然是思考了150个小时
901720	904840	但是还是没有想通
904840	906520	还没有想明白
906520	911040	对这个因果还没有坚定不已的信心
911040	912160	这样子的话呢
912160	916440	虽然是这个150个小时的时间是完成了
916440	921200	但是这个结果还没有出来
921200	924160	所以就是还要继续打坐
924160	925040	但是呢
925040	929200	我们先暂时就是搞一个段落
929200	932520	但是以后也要继续去思考
932520	933640	学习
933640	935240	这都是非常非常重要的
937880	945360	这个就是60个思考的思维的方式
945360	949400	然后通过这个60个这个思维的方式
949400	951320	思维了以后呢
951320	955160	就需要需要有四个这个结论
955160	956440	四个结论
956480	958200	善有两个结论
958200	960600	恶有两个结论
960600	962880	那是不善
962880	964600	恶这方面呢
964600	965920	两个结论是什么呢
965920	969720	第一个恶有恶保
969720	974240	这方面要得到一个坚定不已的信心
974240	980800	通过30个这个不同的这个思维的方式
980840	984840	反复反复反复的去思考
984840	986480	思考
986480	992920	最后就是想明白了坚定不已的详信
992920	994840	因为为什么要这样子呢
994840	998120	因为佛佛教佛教
998120	1001400	他这个讲的都是知心
1001400	1003680	不是迷信
1003680	1005240	如果是迷信
1005240	1009120	不需要这个这个知会这样子的话
1009160	1013760	那我们不需要这么长时间去想这个事情
1013760	1015520	去思考
1015520	1016920	去思维
1016920	1018200	只是告诉大家
1018200	1021600	大家要去相信就可以了
1021600	1024080	但是为什么要花这么长时间呢
1024080	1025960	因为我们反复的去思考
1025960	1028320	到底是不是这样子
1028320	1033080	到底是不是这个善有善报
1033080	1034400	恶有恶报
1034400	1035640	到底是不是这样子
1035640	1037240	就是要去思考
1037240	1040880	在这个思考的过程当中
1040880	1045840	我们最终就是要得到一个结论
1045840	1047120	这个结论呢
1047120	1052400	就是这个对这个恶有恶保这一点
1052400	1055360	有坚定不已的信心
1055360	1058320	这个是我们秀这个因果不虚的
1058320	1062560	最最最主要的这个结果
1062560	1066360	就是我们就是要得到一个这样子的结果
1066400	1067320	结论
1067320	1069480	所以反复的去思考
1070880	1077480	然后除了这个我们讲的这个六十个这个思考的方式以外呢
1077480	1081680	我们在这个之前也讲过很多
1081680	1085240	这个这个善有善报
1085240	1089200	恶有恶报的这个它的合理性
1089200	1092640	这个我们也就讲过了很多
1092680	1096560	那么这些理论
1096560	1100760	这些真局都要去思考
1100760	1106040	通过这么多的这个真局
1106040	1109480	最后至少在理论上
1109480	1110680	在理论上
1110680	1115320	我们坚定不已的相信恶有恶国
1115320	1117040	这是第一个结论
1117040	1118560	然后第二个结论的话
1119560	1123080	我们这个时候我们发现
1123080	1127320	自己曾经做过很多这样子的这个追业
1127320	1128520	这样子以后呢
1128520	1132960	我们深深地感到这个后悔内疚
1132960	1136600	然后就开始做回向
1136600	1139480	这时候就是我们
1139480	1145280	有这个决心要禅会
1145320	1152200	这两个是这个关于这个恶也方面的这个结论
1152200	1154960	就是要得到这两个结论
1154960	1155720	这是第一个
1155720	1156880	第二个
1156880	1161040	善心善善有善报
1161040	1162120	这方面呢
1162120	1168400	同样也有三十个不同的这个思维的方式
1168400	1172120	通过这个三十个不同的思维方式
1172160	1175760	最终还是需要得两种结论
1175760	1177240	第一个结论
1177240	1181760	坚定不已的相信善有善报
1181760	1184080	善有善报
1184080	1185720	这是第一个结论
1185720	1187080	第二个结论
1187080	1190080	然后我们再去思考
1190080	1193680	我们再观察自己平视
1193680	1195480	比如说过去也好
1195480	1196840	现在也好
1196840	1199000	有没有心善
1199000	1200920	比如说不杀生
1200920	1202360	不投刀
1202360	1204840	这些我们有没有去做
1204840	1208280	如果我们做得不够
1208280	1209000	这样子的话
1209000	1212360	那就是要尽量的去心善
1212360	1215680	下决心尽量去心善
1215680	1217960	如果做得不错
1217960	1218760	这样子的话
1218760	1223480	那就摧袭自己的善根
1223480	1225920	然后就好好的回向
1225920	1227480	这是第二个结论
1227560	1230680	那么这个善和恶
1230680	1233360	各有两种结论
1233360	1235880	一共就是四个结论
1235880	1238360	这四个结论是最最最重要
1238360	1244760	大家现在我们就是思考一下
1244760	1247160	也就是说观察一下
1247160	1248840	应该叫观察一下
1248840	1250000	观察什么呢
1250040	1252920	那我们的这个一拜五十个
1252920	1257600	这个小时的这个修行的结果
1257600	1258840	是什么
1258840	1261280	就是我们的这四个结果
1261280	1262600	有没有
1262600	1265320	有没有达到这个表准
1265320	1266360	第一个
1266360	1269760	就是有没有坚定不已的相心
1269760	1271240	恶有恶报
1271240	1274240	第二个就是有没有坚定不已的相心
1274240	1276880	善有善报
1276880	1278240	这两个是核心
1278280	1279120	最最核心
1279120	1280720	最关键
1280720	1282440	如果有了
1282440	1284200	那么第三个结论
1284200	1285640	第四个结论
1285640	1286960	比较容易了
1286960	1288520	自然就会有
1288520	1290760	如果我们相心
1290760	1291760	恶有恶报
1291760	1292480	这样子的话
1292480	1296840	那我们一定会下决心
1296840	1298320	常会
1298320	1300560	然后我们坚定不已的相心
1300560	1301840	善有善报
1301840	1304840	那我们一定会尽量的去心善
1304840	1307480	所以后面的这两个结论
1307520	1308720	虽然是结论
1308720	1310040	但是呢
1310040	1312560	不是很难
1312560	1315880	前面的这两个是非常非常重要的
1315880	1319560	所以我们的这个整个的
1319560	1322120	这个四家性当中的
1322120	1323880	第四个家性的这个
1323880	1324920	他的
1324920	1327960	他的这个最关键的目标
1327960	1329320	目的
1329320	1331160	就是让我们
1331160	1332360	相心
1332360	1333960	这个因果不虚
1333960	1336000	相心因果不虚
1336000	1337880	那么相心呢
1337880	1339760	这个就是并不是说
1339760	1341280	要求我们
1341280	1343120	没有任何的条件
1343120	1343960	无条件的
1343960	1346440	无条件的去相心
1346440	1348480	他不是这样子要求
1348480	1352840	就是让我们自己去这个观察
1352840	1353320	然后呢
1353320	1355120	因为各种各样的
1355120	1357000	各种各样的理由
1357000	1360800	争取来这个
1360800	1362080	来争命
1362080	1363000	善有善报
1363000	1363760	恶有恶报
1363760	1365800	这个是对的
1366040	1367920	就是这样子要去思考
1367920	1369280	那这是我们的这个
1369280	1372680	150个小时的功课
1372680	1375360	我们现在还不知道大家做完了没
1375360	1379840	那这个主要是这个时间上
1379840	1381760	也要达到150个小时
1381760	1383840	但是更重要的
1383840	1386160	更重要的就是
1386160	1387400	这个
1387400	1389200	真正的
1389200	1390320	他的标准
1390320	1393360	还不是这个时间方面的标准
1393400	1396560	而是我们见定不易的相心
1396560	1397840	善有善报
1397840	1398600	恶有恶报
1398600	1399440	这样子的话
1399440	1403080	这才是真正的这个目标
1403080	1406600	和标准
1406600	1408240	这是
1408240	1410880	我们之前已经讲过了
1410880	1413120	大家自己观察就可以了
1413120	1413920	比如说
1413920	1415320	我们私家心
1415320	1416760	有没有修好
1416760	1418760	这就不需要问
1418760	1420360	不需要问其他人
1420360	1421480	问自己
1421520	1423560	就已经很清楚了
1425560	1426360	然后
1426360	1428280	后面的最后一个
1428280	1430440	最后一个
1430440	1433160	功课的话
1433160	1434600	再补充一下
1434600	1437520	实际上是我们前面讲的这个
1437520	1438840	已经有了
1438840	1442120	通过这个60个思维的仿实
1442120	1445560	达到了四个目标
1445560	1446120	标准
1446120	1446800	这样子的话
1446800	1451040	实际上这个不需要再去思考
1451040	1453200	不需要再去思考
1453200	1454280	但是
1454280	1456040	这个后面的一部分
1456040	1459120	我们还是要给大家简单的说一下
1460840	1461840	因果不叙
1463120	1464280	是我们
1464280	1466440	这个佛教
1466440	1467920	整个的这个佛教
1467920	1469680	大乘佛教
1469680	1471040	小乘佛教
1471040	1473040	还有这个
1473040	1474040	贤宗
1474040	1474840	密宗
1474840	1477080	所有的佛教里面
1477080	1480560	是一个非常非常关键的
1480560	1484720	因果不叙和轮回
1484720	1487440	人的这个前世今生来世
1487440	1488400	这个轮回
1488400	1489800	这两个
1489800	1495080	这两个是佛教的一个非常重要的两个观念
1495080	1497880	虽然这两个都是很基础的这个观念
1497880	1499440	但是呢
1499440	1500640	非常的重要
1500640	1502280	这个在这个问题上面
1502280	1507280	我们一定要有这个坚定不移的心性
1507280	1509920	如果轮回
1509960	1511760	和这个因果
1511760	1513800	这两个方面
1513800	1515840	没有坚定不移的心性
1515840	1518440	只有搬心搬意
1518440	1521640	或者是太多太多的疑问
1521640	1523080	这样子的话
1523080	1529080	可能我们的这个下一步的这些修法就更难
1529080	1529800	所以
1529800	1533600	首先要解决这个问题
1533600	1535560	这个问题呢
1535560	1539040	就是每一个人都是可以解决的
1539080	1541480	这个我们之前也讲过
1541480	1543560	比如说因果的关系
1543560	1544840	因果的关系
1546240	1547080	善有善保
1547080	1548240	畏有恶保
1548240	1551280	从理论上看的话
1551280	1552200	观察的话
1552200	1554000	这个不是很难
1554000	1554480	首先
1554480	1555760	第一个
1555760	1556960	第一个问题呢
1556960	1560120	我们不管是什么样的人
1560120	1561680	是科学家也好
1561680	1563360	哲学家也好
1563360	1565800	或者是其他的这个宗教也好
1565800	1566840	任何一个人
1566840	1568720	我们完全可以说
1568760	1571840	没有任何的理由来
1571840	1573560	这个推翻
1573560	1576960	或者是否定善有善保
1576960	1580160	畏有恶保的这种说法
1580160	1581480	这个观点
1581480	1584320	谁都没有办法否定
1584320	1587600	没有任何的证据可以否定
1587600	1589760	这是第一个
1589760	1591120	那么第二个呢
1591120	1594040	那我们有没有什么理由
1594040	1596560	或者是证明来
1597360	1600520	有没有什么证据来证明
1600520	1602200	这个善有善保
1602200	1603880	畏有恶保是对的
1605160	1608920	是这个观念是正确的
1609960	1611920	有没有这样的证据呢
