start	end	text
0	3000	慧登禪修课十九
3000	6000	解脱利益
6000	9000	慈承罗珠刊布讲授
9000	10000	更多课程
10000	13000	请访问刊布官方网站
13000	16000	3W.慧登之光.com
30000	33000	慧登禪修课十九
33000	36000	解脱利益
36000	39000	更多课程
39000	42000	请访问刊布官方网站
42000	45000	3W.慧登之光.com
45000	48000	解脱利益
48000	51000	更多课程
51000	54000	请访问刊布官方网站
54000	57000	3W.慧登之光.com
57000	60000	解脱利益
60000	63000	更多课程
63000	66000	请访问刊布官方网站
66000	69000	3W.慧登之光.com
69000	72000	解脱利益
72000	75000	更多课程
75000	78000	请访问刊布官方网站
78000	81000	3W.慧登之光.com
81000	84000	解脱利益
85000	88000	各位佛佑大家晚上好
88000	91000	我们现在开始讲今天的课
91000	94000	首先
94000	97000	请大家发菩提心
97000	100000	我们今天的课
100000	103000	为什么要来听
103000	106000	然后听了这个课
106000	109000	我们想达到什么样的目的
109000	112000	这个就是我们的目的
112000	115000	这个目的是什么呢
115000	118000	所有的学大成佛教的
118000	121000	佛教徒就是一个目标
121000	124000	是什么呢
124000	127000	就是为了帮助所有的众生
127000	130000	为了让所有的众生
130000	133000	从轮回枯海
133000	136000	当中活得解脱
136000	139000	这个就是我们的目的
139000	142000	怎么让所有的众生
142000	145000	从轮回当中解脱呢
145000	148000	首先我们自己要解脱
148000	151000	自己解脱了以后
151000	154000	才能够让其他人解脱
154000	157000	我们自己还没有
157000	160000	解脱的时候没有办法
160000	163000	让其他人解脱
163000	166000	所以首先要自己成佛
166000	169000	首先要自己成佛
169000	172000	为了渡一切众生
172000	175000	我要下定决心我要成佛
175000	178000	这样子的决心
178000	181000	这样子的决心就叫做菩提心
184000	187000	这个就是菩提心
189000	192000	虽然这样子发心
192000	195000	有可能不是很难
195000	198000	但是当我们螺释到
198000	201000	实际行动当中的时候
201000	204000	我们会发现这个确实不是那么的容易
204000	207000	不管怎么样
207000	210000	大家一定要发菩提心
210000	213000	否则我们没有办法去达成佛教
213000	216000	首先这样子发菩提心
216000	219000	接下来我们今天讲的这个课
219000	222000	也就是回灯禅酒的课
222000	225000	回灯禅酒的最后一个课
225000	228000	最后一个课就是说
228000	231000	四加心的最后一个课
231000	234000	四加心的
234000	237000	四个加心
237000	240000	已经讲完了
240000	243000	最后就要讲解脱的利益
243000	246000	为什么要讲解脱的利益呢
246000	249000	我们在这个之前
249000	252000	就思考了很多
252000	255000	思维了这个轮回的痛苦
255000	258000	因果不叙等等
258000	261000	这样子以后呢
261000	264000	我们就发现这个轮回
264000	267000	六道轮回都是很哭
267000	270000	很痛苦的
270000	273000	然后除了我们这个
273000	276000	反复忍的这些追求
276000	279000	也就是说世俗的名和利
279000	282000	除了这个追求以外
282000	285000	没有追求的话
285000	288000	我们就发现人生其实
288000	291000	没有太大的意义
291000	294000	这个时候呢
294000	297000	在这个之前
297000	300000	我们反复地去思考
300000	303000	思考了轮回的痛苦
303000	306000	无常生命有端暂
306000	309000	然后呢
309000	312000	因果也就是非常的可怕
312000	315000	如果我们做错了一点事情的话
315000	318000	那也有很严重的后果
318000	321000	这样子以后呢
321000	324000	我们就发现这个人生
324000	327000	就是在这个世俗轮回
327000	330000	当中就是没有找到一个
330000	333000	可以追求的东西
333000	336000	就是发现没有太大的意义
336000	339000	这个时候呢
339000	342000	那我们应该怎么去做呢
342000	345000	这人生是不是真的是没有意义呢
345000	348000	难道这个人生是不是没有任何的意义
348000	351000	那就不是
351000	354000	这时候就是要讲这个解脱的利益
354000	357000	意思就是说轮回
357000	360000	当中
360000	363000	去追逐名和利
363000	366000	虽然是没有很大的意义
366000	369000	但是呢我们除了这个追逐
369000	372000	自己的名和利以外
372000	375000	还有可以追求更好的东西
375000	378000	更好的东西
378000	381000	这样子以后呢我们的人生
381000	384000	就变得非常的有意义
384000	387000	这是什么呢
387000	390000	这就是解脱
390000	393000	我们应该去追逐解脱
393000	396000	所以后面
396000	399000	经解之就要讲解脱的利益
399000	402000	大圆满的潜心里面
402000	405000	也是这样子把前面的四个家心
405000	408000	讲完了以后呢
408000	411000	经解之就讲解脱的利益
411000	414000	有些人呢
414000	417000	就学了
417000	420000	轮回的痛苦的时候
420000	423000	就想解脱
423000	426000	不想继续在这个轮回当中
426000	429000	走上解脱道
429000	432000	有些人呢
432000	435000	就是去思维了这个解脱的利益
435000	438000	这样子的时候就发现这个
438000	441000	非常有意义
441000	444000	所以就是要去寻求这个解脱
444000	447000	这样子就走上解脱道
447000	450000	每个人的情况可能不一样的
450000	453000	有些人呢听到了轮回的痛苦以后
453000	456000	就想解脱
456000	459000	有些人呢听到了这个解脱的利益
459000	462000	他的功德他的好处
462000	465000	这样子的时候呢想解脱
466000	469000	不管怎么样
469000	472000	我们这一生当中呢
472000	475000	一定要走向解脱
475000	478000	这个是非常的重要
478000	481000	除了这一点意外
481000	484000	这一生当中恐怕
484000	487000	我们不会做到
487000	490000	什么非常有意义的事情
490000	493000	世俗的名和利
493000	496000	看起来对我们有佣有利
496000	499000	但是呢
499000	502000	就走到了最好的时候
502000	505000	我们回顾自己的一生
505000	508000	这样子的时候呢才发现
508000	511000	原来没有任何的意义
511000	514000	但是我们现在
514000	517000	可能觉得有意义
517000	520000	但是走到最好的时候呢
520000	523000	这个时候会发现没有任何的意义
523000	526000	那么走到最后的时候
526000	529000	也能够感觉到有意义的是什么
529000	532000	那就是解脱道
532000	535000	走向解脱道
535000	538000	这就是非常非常的重要
538000	541000	所以我们这一生当中
541000	544000	无论如何要走上解脱道
544000	547000	这是我们这一生当中的
547000	550000	需要的最重要的
550000	553000	最有意义的其他的
553000	556000	所有的世俗的名和利
556000	559000	可以用
559000	562000	因为我们都是世俗的人
562000	565000	所以如果想拥有这些东西
565000	568000	也是大家都可以理解的
568000	571000	都没问题的可以拥有
571000	574000	可以去追逐
574000	577000	但是没有太多的意义
577000	580000	但是因为我们的羽王
580000	583000	我们就不让我们发现
583000	586000	名和利的它的这些笔短
586000	589000	就是因为我们的羽王
589000	592000	一直在我们的心目当中
592000	595000	把它梅花
595000	598000	然后我们去追求就是这样子
598000	601000	所以我们现在当下
601000	604000	去追求这些是有点难
604000	607000	不是很容易
607000	610000	但是适当的去追求世俗的名和利
610000	613000	这样子的同时
613000	616000	也一定要追逐
616000	619000	解脱道一定要走上解脱道
619000	622000	最后的时候
622000	625000	我们所有东西
625000	628000	都会离开我们
628000	631000	我们要离开所有的东西
631000	634000	要放弃所有的东西
634000	637000	唯一一个可以跟着我们走的
637000	640000	或者说唯一一个我们可以带走的
640000	643000	是什么就是我们的
643000	646000	想处理心这样子的
646000	649000	功德这个是我们唯一能够
649000	652000	带走的所以这一点
652000	655000	我们是必须要去追求
655000	658000	其余的就是
658000	661000	世俗的名和利
661000	664000	我们所有都要放下的话
664000	667000	也没有那么容易
667000	670000	但是追逐这些世俗的东西的
670000	673000	同时大家就别忘了
673000	676000	要追逐这个解脱一定要走上解脱道
676000	679000	这才是我们的唯一的人生的
679000	682000	价值
682000	685000	走到最后的时候
685000	688000	我们会发现是这样子
688000	691000	苹果公司的斯蒂文·乔布斯
691000	694000	他不是也说了吗
694000	697000	他最后他有那么多的钱
697000	700000	他有那么多的实业上的成就
700000	703000	但是他最后躺在冰床上的时候
703000	706000	也就发现所有所有的值钱
706000	709000	人为是非常了不起的这些东西
709000	712000	整个的东西
712000	715000	这个时候觉得没有意义
715000	718000	整个的世界就是变得灰色的
718000	721000	没有颜色的意思就是说
721000	724000	这个时候整个的这些
724000	727000	世俗的名和利等等
727000	730000	都是没有任何的吸引力
730000	733000	没有任何的价值
733000	736000	这个时候当他躺在冰床上的时候
736000	739000	然后发现这一切
739000	742000	都是没有色彩的
742000	745000	没有意义的
745000	748000	那个时候就发现了
748000	751000	那个时候发现他的专辑自传
751000	754000	里面都是这样写道
754000	757000	不仅仅是他
757000	760000	我们所有人都是这样子
760000	763000	我们辛辛苦苦一辈子
763000	766000	为了自己的利
766000	769000	但是做到最后的时候
769000	772000	还没有走的时候就会发现
772000	775000	原来这些是没有什么意义
775000	778000	只不过当下我们自己的余望
778000	781000	就把这些东西没化
781000	784000	然后我们那个时候
784000	787000	我们没有发现他的吸引力
787000	790000	命和利的吸引力
790000	793000	命和利的他的魅力
793000	796000	并不是他的实际的魅力
796000	799000	而是我们的余望
799000	802000	创造出来的一个这样子的东西
802000	805000	实际上没有那么意义
805000	808000	这个时候会发现
808000	811000	所以这一天
811000	814000	我们每一个人都要面对的
814000	817000	一定会到来的
817000	820000	我们大家都说不清楚
820000	823000	有一天我们一定会发现
823000	826000	但是这个时候我们
826000	829000	除了追逐命和利以外
829000	832000	没有任何其他东西的话
832000	835000	这个时候我们确实是以无所由
835000	838000	两手空空的
838000	841000	离开这个世界
841000	844000	这个就是非常非常
844000	847000	残忍的
847000	850000	所以我们的要求也不是很高
850000	853000	我们并没有说不要追求
853000	856000	任何的实俗的命理
856000	859000	当然如果能这样子是更好
859000	862000	但是这个不太现实
862000	865000	但是同时
865000	868000	大家也一定要奏上解脱道
868000	871000	那么奏上解脱道怎么样奏
871000	874000	怎么样奏我们的身体奏上解脱道
874000	877000	或者是我们的语言或者我们的内心
877000	880000	哪一个要奏上解脱道
880000	883000	身体不是没有办法奏上解脱道
883000	886000	语言我们的语言
886000	889000	也没有办法奏上解脱道
889000	892000	要奏上解脱道
892000	895000	那就是我们的意识
