start	end	text
0	6000	慧登禅修课二十
6000	8000	依旨上师
8000	11000	慈承罗珠坎布讲授
11000	15000	更多课程请访问坎布官方网站
15000	18000	3w.慧登之光.com
20000	23000	首先请大家发菩提琴
23000	29000	我们今天的课就是慧登禅修的课
29000	33000	所以首先大家发菩提心
33000	39000	菩提心我们之前每一次都有讲
39000	41000	也就提醒大家发菩提心
41000	44000	那么我们今天也是一样
44000	49000	为了度化一切众生
49000	52000	下定决心要成佛
52000	54000	为了成佛
55000	59000	然后今天我们听这个法
59000	62000	这样子这个法菩提心
62000	65000	然后接下来我们这个
65000	68000	慧登禅修的课呢
68000	70000	在这个之前
70000	73000	基本上就是两年的时间当中
73000	76000	我们大家已经修了这个
76000	78000	四家星
78000	80000	从人生难得
80000	82000	死亡无畅这样子
82000	85000	这样子一个一个每一个
85000	88000	加星大概就是修了
88000	91000	150个小时
91000	92000	这样子
92000	95000	然后我们基本上
95000	97000	大多数的人
97000	99000	就已经修完了
99000	101000	四家星
102000	104000	所谓的修完
104000	106000	是什么意思呢
106000	108000	150个小时
108000	110000	基本上做到了
110000	113000	但是150个小时
113000	117000	只是一个时间上的要求
117000	119000	时间上的要求
119000	121000	大家基本上做到了
121000	124000	但是有没有达到
124000	129000	四家星的最终的目标
129000	131000	表准
131000	134000	这个可能是每一个人的情况
134000	136000	不一样
136000	139000	有些可能已经是
139000	142000	已经达到这个表准
142000	144000	有些可能还没有
144000	145000	还没有达到
145000	147000	那表准是什么呢
147000	149000	什么是表准
149000	151000	四家星的表准
151000	154000	就是把这个四个家星
154000	156000	每一个家星
156000	160000	150个大作的时间
160000	162000	就是在桌上
162000	164000	修150个小时
164000	166000	这样子以后
166000	170000	最终的目的是什么呢
170000	173000	就是要有出力性
173000	176000	要有表准的出力性
176000	178000	有了出力性
178000	184000	那就四家星的目的达到了
184000	186000	如果还没有出力性
186000	188000	如果还没有出力性的话
188000	192000	那就虽然是150个小时
192000	195000	时间上做到了要求
195000	202000	但是实际上还没有达到这个表准
202000	204000	我们需要的
204000	208000	我们需要的不是时间上的表准
208000	210000	需要的是实质上
