start	end	text
0	6900	【三星】
6900	27900	【三星】
28900	30900	各位佛佑大家晚上好
31900	32900	阿彌陀佛
32900	36900	我们现在开始讲今天晚上的课
36900	40900	首先大家发菩提星
40900	49900	我们修了无家星当中的菩提星刚刚修完
49900	51900	那么这样子的话
51900	54900	以前就修菩提星
54900	58900	跟现在修菩提星就肯定是不一样
59900	62900	应该有所不一样
62900	67900	因为我们花了这么长的时间
67900	70900	就是专门修了菩提星
70900	73900	所以应该有不一样
73900	77900	过去我们每一次上课的时候
77900	82900	也就是要求大家发菩提星
82900	87900	但是不一定大家能够发菩提星
87900	89900	那么这一次的话
89900	94900	应该是跟以前有一点不一样
94900	96900	就是对菩提星
96900	99900	大家也应该有一点感受
99900	101900	就是阿彌来讲的话
101900	103900	应该是这样子
103900	107900	那么佛法
107900	111900	在这个凡文印度的凡文里面
111900	113900	就叫做Dharma
113900	115900	Dharma就是佛法
115900	120900	然后在凡文里面就叫做Chu
120900	124900	Chu就是佛法
124900	126900	然后凡语里面就是法
126900	131900	那么凡语里面的Chu是什么意思呢
131900	133900	就是改编
133900	135900	就这个意思
135900	136900	改编
136900	138900	意思就是说
138900	141900	我们修了佛以后
141900	143900	应该有一些改编
143900	145900	应该有一些变化
145900	149900	如果我们学佛之前和之后
149900	151900	都是没有什么变化
151900	153900	都是一样的
153900	155900	比如说我们的见解
155900	157900	也就是观点
157900	162900	还有我们的行为
162900	163900	脾气
163900	165900	行革
165900	168900	各方面都没有什么提升
168900	170900	没有得到什么提升
170900	171900	没有什么变化
171900	173900	这样子的话
173900	178900	我们修心没有期待
178900	182900	它引有的作用
182900	185900	只是做了一个过程
185900	190900	但实际上它没有期待真正的作用
190900	195900	所以我们今天我们发不提醒的时候
195900	197900	大家问问自己
197900	201900	我们是不是有点不一样
201900	204900	跟之前是不是对这个提醒
204900	208900	有一点这种感受
208900	210900	如果是有
210900	214900	那就是我们有了法
214900	216900	或者是Chu的内容
216900	218900	已经有了
218900	220900	如果没有任何的改变
220900	221900	这样子的话
221900	225900	前面的提醒的修法
225900	229900	我们要重新修
229900	233900	到了乌家庆的时候
233900	239900	每一个家庆都有很多的数量上的要求
