start	end	text
0	29640	各位师兄
29640	31000	大家好
31000	35440	我们现在开始讲今天的课
35440	39200	首先请大家发菩提心
39200	42880	我们停课的时候
42880	45280	还有就是大坐的时候
45280	47680	坐任何时候都要发菩提心
47680	49560	这个大家一定要
49560	51200	就不能忘了
51200	57400	就是我们做任何善事都必须要举杯
57440	60000	三殊生
60000	61400	三殊生第一个
61400	64080	大家都知道就是发菩提心
64080	66040	最后就是要回乡
66040	69000	这两个是特别重要
69000	72280	所以首先请大家发菩提心
72280	75480	我们今天为什么停课呢
75480	79920	就是我们就让天下所有的众生
79920	81680	离苦得乐
81680	83760	为了达到这个目标
83760	87160	首先我们得下定决心
87160	89320	我们自己要成佛
89320	91240	为了成佛
91240	96720	今天来学习成佛的方法
96720	98600	然后学完了以后
98600	100080	大家去修
100080	101400	这样就可以成佛
101400	104800	成了佛才能够赌众生
104800	107600	这样子的发菩提心
107600	108960	发菩提心完了以后
108960	112600	我们讲今天的课程
112800	116760	今天的课程就是五家星
116760	121240	五家星里面的第四格
121240	125840	就是曼扎拉的修法
125840	132400	曼扎拉的修法是一个非常非常非常殊胜的
132400	138320	也是一个非常重要的修法
138320	139880	为什么那么重要呢
139960	143240	就是我们修四家星也好
143240	144240	修五家星也好
144240	148640	目的就是为了真悟
148640	150880	如果不真悟就是没办法成佛了
150880	153440	所以就是必须要真悟
153440	154400	那真悟呢
154400	156680	你怎么样真悟呢
156680	159520	真悟的方法
159520	160760	当然也有很多很多
160760	164520	比如说我们的所有的文思修
164520	167640	以及各种各样的心闪
167680	174040	都跟这个成佛或者是真悟有关系
174040	178800	但是有几个主要的因素
178800	180560	主要的因素是什么呢
180560	183960	首先第一个就是清净
183960	186720	我们的各种各样的嘴颜
186720	188320	这个特别的重要
188320	192320	如果这些嘴颜没有清净的话
192320	194240	那是不能真悟的
194240	195480	根本就没办法真悟
195480	196400	这是一个
196640	199520	这个就是修金刚萨多
199520	202600	基本上就可以完成
202600	207040	金刚萨多基本上就可以达到这个目标
207040	210800	然后第二是哪一个呢
210800	213000	第二就是积累福报
213000	215200	就是积累资粮
215200	216520	如果没有福报
216520	220680	没有资粮也不能真悟
221880	223040	不能真悟
223080	228080	哪怕是我们听的佛经再多
228080	231080	比如说就是波罗波罗密读
231080	233480	先宗的波罗波罗密读
233480	239600	宗观这方面的法文思听的再多
239600	242720	然后就是密法的
242720	245120	讲这个心的本心
245120	247080	本来清净等等
247080	250280	就是这方面的佛经
250280	252120	密法的这个书
252160	255680	阴道文我们听的再多
255680	258400	但是这些都是理论
258400	261480	这些都是文思的阶段
261480	263440	都是文思的阶段
263440	265040	都是理论
265040	266760	那么理论的意思
266760	270600	就是说我们通过各种各样的理论
270600	274440	各种各样的推理的方式
274440	279200	我们明白了一些改年
279200	281120	但是这些都是改年
281120	282640	现在还没有证物
282640	286360	还有没有实实在在的证物
286360	290560	所以这些文思是需要的
290560	291520	是很重要的
291520	299320	但是文思它永远都是一种改年
299320	301120	那么这个改年
301120	308120	它怎么样把它转化为我们自己的亲身的题物
308120	309880	那么这个当中
310440	314280	还需要几个其他的因素
314280	319560	除了文思本身意外
319560	322680	还需要其他的几个因素
322680	327040	那么这个因素就是三大因素
327040	328760	第一个刚才讲了
328760	332000	就是金刚萨多的修法
332000	334640	第二个就是曼扎拉
334640	336880	通过曼扎拉的修法
336880	340520	我们积累资粮
340520	345120	那么就是有了积累到一定的资粮的时候
345120	357360	之前通过文思所了解的空心
357360	360000	就是通过资粮
360000	366680	最后就可以把它转化为我们自己的亲身的体会题物
366680	368600	这个就叫做证物
368600	372120	这是第二大因素
372120	374240	然后第三大因素
374240	376760	就是上师的加持
376760	382200	上师的加持通过上师御甲的修法
382200	386280	来获得上师的加持
386280	388280	所以无加心当中
388280	393600	就是后面的这三个特别的重要
393600	394680	当然前面的
394720	398360	比如说皈依、法菩提心也是非常重要
398360	403200	尤其是这两个都是最最最根本最基础的
403200	406200	如果皈依法型没有的话
406200	407240	没有修好的话
407240	414960	在大乘佛教里面几乎没有办法去做任何的上师修心
414960	417520	所以当然是非常非常重要的
417520	423280	但是跟这个证物直接有关系的
423320	424840	那就是这几个了
424840	426920	第一个就是金刚撒度
426920	431080	金刚撒度虽然我们已经修过了
431080	434160	但是一修一遍还不够
434160	436000	要反反复复地修
436000	440040	只要有时间就要去修金刚撒度
440040	448520	来摻绘从无事以来所造的这些各种各样的罪过
448520	454240	如果罪过这些罪业神众
