start	end	text
0	3000	- 字幕提供由 Amara.org 社群提供
3000	6000	- 字幕提供由 Amara.org 社群提供
7000	10000	- 字幕提供由 Amara.org 社群提供
29000	31000	- 各位师兄,大家晚上好
31000	36000	- 我们现在开始讲今天晚上的课
37000	45000	- 今天晚上的课就是我们继续讲曼扎拉的修法
45000	50000	- 我们现在这次讲曼扎拉的修法
50000	55000	- 就是讲无加星的曼扎拉的修法
55000	58000	- 无加星的曼扎拉的修法
59000	64000	- 昨天我们已经讲了曼扎拉当中的
64000	70000	- 三身曼扎拉的修法和七腿曼扎拉的修法
70000	76000	- 这两个曼扎拉的修法我们之前就是昨天已经讲过了
78000	83000	- 从这个书的顺序来讲的话
83000	88000	- 首先第一个是讲三十七腿曼扎拉
88000	92000	- 然后再讲三身曼扎拉
92000	96000	- 最后讲七腿曼扎拉
97000	102000	- 但是我们先讲了三身曼扎拉
102000	106000	- 因为我们这一次修无加星的时候
106000	111000	- 无加星的时候主要记熟的曼扎拉
111000	115000	- 不是三十七腿曼扎拉
115000	123000	- 三十七腿曼扎拉需要花相对来说比较长一点的时间
123000	129000	- 所以我们把十万遍曼扎拉全部用三十七腿曼扎拉
129000	132000	- 这个不可能不显示
132000	138000	- 所以无加星本身也没有这样的要求
138000	147000	- 所以我们修无加星的时候就是修十万遍曼扎拉
147000	156000	- 十万遍曼扎拉主要就是修三身曼扎拉和七腿曼扎拉
156000	161000	- 所以我们把三身曼扎拉和七腿曼扎拉的修法
161000	164000	- 昨天就先讲了
164000	170000	- 今天我们就讲三十七腿曼扎拉
170000	179000	- 三十七腿曼扎拉的曼扎拉的供养方式
179000	182000	- 因为它有三十七腿
182000	186000	- 它就是稍微有一点点复杂
186000	192000	- 但是现在我们《回灯之广》的书里面有图
192000	204000	- 图上面先后的顺序用文字表达得很清楚了
204000	206000	- 注明了第一个是什么,第二个是什么
206000	211000	- 用数字表明了
211000	213000	- 所以这个不会有问题了
213000	219000	- 还有一个也有3D的动画也可以看
219000	221000	- 这样子的话就不会有问题
221000	224000	- 但是因为稍微有一点点复杂
224000	232000	- 所以我们今天也给大家讲一下三十七腿曼扎拉的修法
232000	237000	- 然后首先第一个,我们曼扎拉什么时候修
237000	239000	- 什么时候修曼扎拉呢
239000	245000	- 大概就是有四个修曼扎拉的时候
245000	248000	- 那么第一个是什么呢
248000	255000	- 第一个就是我们专门为了积累福报
255000	261000	- 集中精力的专修曼扎拉
261000	264000	- 那就是武家心,修武家心的时候了
264000	270000	- 这是第一个,这是第一个,是专修曼扎拉
270000	277000	- 平时除了这个以外还有三个时候可以要修曼扎拉
277000	279000	- 第一个是什么呢
279000	282000	- 第一个是我们将亲说法的时候
282000	288000	- 我们想上士请法的时候,求法的时候
288000	300000	- 或者是我们向诸佛菩萨,高僧大德请法,求法的时候供曼扎拉
300000	304000	- 这是第一个,供曼扎拉的时候
304000	310000	- 然后第二个,平时我们早晚都要供
310000	316000	- 最好是一天三遍,但是一天三遍可能不一定方便
316000	326000	- 但是每一天一遍,早上起来了以后供佛的时候
326000	331000	- 早上供佛的时候供一遍曼扎拉
331000	341000	- 或者是早上供佛的时候供三遍,这样子也是非常好的
342000	346000	- 另外一个,比如说我们闭关的时候
346000	354000	- 闭关,专门闭关修奔尊,修专修某一个法
354000	360000	- 这样子的时候,也就是这个时候应该是早上、中午、晚上
360000	365000	- 一天,因为是闭关专修的时候,有时间
365000	372000	- 所以这个时候一天供三次曼扎拉
372000	376000	- 这是第二个供曼扎拉的时候了
376000	381000	- 然后第三个供曼扎拉的时候,这个我们昨天也讲过了
381000	389000	- 当我们的心里生气,对法、对三宝
389000	398000	- 还有就是对本尊、对上士生起强烈的信心的时候
398000	405000	- 或者是我们特别的相连上士、三宝、佛菩萨
405000	411000	- 这个时候就把曼扎拉拿出来供曼扎拉
411000	417000	- 然后发源,表达我们的前程
417000	423000	- 同时也就是能够通过曼扎拉的修法
423000	429000	- 我们可以清净从物事以来所造的这些罪
429000	435000	- 还有我们更重要的就是可以积累很大的资量
435000	440000	- 所以这个时候也可以供曼扎拉
440000	443000	- 这些都是非常非常有意义的
443000	449000	- 曼扎拉的功德,我们昨天讲过,今天不再重复了
449000	452000	- 今天就是先说这样子的四个
452000	457000	- 包括我们吴嘉兴的专修的时候
457000	463000	- 那就应该是有四个修曼扎拉的时候
463000	467000	- 然后我们修曼扎拉的时候
467000	470000	- 首先曼扎拉,我们昨天也讲过了
470000	475000	- 曼扎拉是三个部分组成的
475000	480000	- 一个就是曼扎拉的集盘,曼扎盼
480000	485000	- 然后三个拳,就叫做曼扎拉的贴围扇
485000	491000	- 最后就是宝丁,这三个部分组成的
491000	496000	- 我们先讲修曼扎拉的时候
496000	500000	- 我们先讲修三十七堆曼扎拉
500000	504000	- 修三十七堆曼扎拉的时候,需要准备的
504000	506000	- 我们昨天也讲过了
506000	509000	- 就是两套曼扎拉
509000	512000	- 一个是所修的曼扎拉
512000	515000	- 一个是所供养的曼扎拉
515000	517000	- 就两套
517000	520000	- 然后我们准备两套
520000	524000	- 如果是条件有限,没有两套的话
524000	528000	- 那就没关系,就一套,也就可以了
528000	532000	- 然后我们如果有两套曼扎拉
532000	538000	- 一个是我们是用来供的,供奉的
538000	542000	- 另外一个就是放在这个工作上
542000	545000	- 我们就是用来观想的
545000	549000	- 这个观想的方法我们昨天已经讲过了
550000	554000	- 这两个曼扎拉
554000	558000	- 比如说我们现在开始供三十七堆曼扎拉
558000	561000	- 三十七堆曼扎拉之前
561000	565000	- 我们供所修的曼扎拉
565000	568000	- 也就是放在工作上
568000	571000	- 不懂,一直放在工作上的这个曼扎拉
571000	575000	- 这个首先我们怎么去修
575000	579000	- 这个昨天没有详细的讲
579000	581000	- 首先是这样子
581000	583000	- 大家看着这里
583000	589000	- 我们首先就是用手拿着曼扎的鸡盘
589000	594000	- 一般都是必须要用自己的手拿着
594000	598000	- 不要一开始就放在前面的桌子上
598000	602000	- 然后手很疼,时间长了以后手会疼的
602000	605000	- 实在是没有办法
605000	609000	- 这样子的时候可以放在前面的桌子上
609000	613000	- 这个在《大远门的潜行》里面讲得很清楚了
613000	619000	- 这也是一种所谓的苦行
619000	622000	- 我们多数人的理解当中
622000	625000	- 苦行为法,苦行是什么呢
625000	629000	- 就是美得吃美得穿,就在山东里面
629000	632000	- 苦行很多人的概念当中就是这样子
632000	636000	- 但是实际上苦行为法苦行
636000	638000	- 当然有各种各样的
638000	641000	- 比如说我们手很疼
641000	647000	- 但是简实忍着,这也是为法苦行
647000	650000	- 这个苦行有什么意思呢
650000	655000	- 这个可以消除我们的罪业
655000	659000	- 实在是拿不动
659000	661000	- 尤其是时间长
661000	664000	- 尤其是蛮杂的鸡盘比较大的话
664000	668000	- 它重量比较重
668000	670000	- 这样子实在是撑不住了
670000	672000	- 就可以放在前面
672000	674000	- 然后休息好了以后
