start	end	text
0	6360	《慧灯禅修课》33 家形的修法
6360	8800	尚师余家 1
8800	11800	慈成罗珠刊部讲授
11800	15800	更多课程请访问刊部官方网站
15800	18800	3w.慧灯之光点抗
20800	23400	各位导游大家晚上好
23400	28600	我们现在开始讲
28800	32000	我们今天的课
32000	37000	首先请大家发布提醒
37000	41200	我们今天为什么要听这个课呢
41200	48400	就是我们为了让天下所有的终生离苦得罗
48400	53000	这个就是作为一个大成佛教的修行人
53000	56400	那么他的唯一的目的
56400	60400	实际上我们之前也讲过了
60400	64400	实际上一个大成的修行人
64400	70800	他的最终极的目标还不是成佛
70800	71800	那是什么呢
71800	75400	他最终极的目标就是
75400	77400	饶疑一切终生
77400	80400	也就是让一切终生离苦得罗
80400	83400	让一切终生成佛
83400	87200	但是我们要让一切终生成佛的话
87200	91400	首先自己不成佛还不行
91400	94200	所以也要成佛
94200	98200	成佛不是为了最终极的目标
98200	101000	成佛就是为了读一切终生
101000	104000	不成佛那就没办法读一切终生
104000	106600	所以就要成佛
106600	109400	需要成佛的话
109400	113400	我们也要学习怎么样成佛
113400	115000	成佛的方法是什么
115000	116600	要学习
116600	118800	那么这样子的话
118800	124200	我们今天大家来学习怎么样成佛
124200	127400	如何修行最终成佛
127400	128800	就是这个方法
128800	131800	所以大家就是要这样子发佛地心
132200	136000	我们下定决心
136000	138000	一定要成佛
138000	139600	为了成佛
139600	142800	今天来听我们这个课
142800	146400	就是这样子大家发佛地心
146400	149000	然后我们今天的课
149000	154200	就是我们五家星里面的最后一个家星
154200	156800	也就是上世瑜伽
156800	160800	然后这个上世瑜伽主要就是修
160800	163000	联华圣大师
163000	165600	然后世家牟尼佛
165600	167200	还有就是像文书菩萨
167200	169200	观圣印菩萨等等
169200	173400	释放三十竹佛菩萨
173400	178400	然后以联华圣大师的心相
178400	182000	然后观相在我们的前面
182000	184000	还有就是我们的根本上身
184000	185800	我们大家所有人的根本上身
185800	188200	像法王如一豹
188200	191400	还有就是我们自己每一个人的这个上世
191400	194600	都就是把所有的上身门
194600	196400	融入一替
196400	198000	无而无别
198000	201000	然后就是更祝佛菩萨
201000	203600	都就是无而无别
203600	206600	然后这个祝佛菩萨
206600	208600	各所有的上世
208600	211600	融为一替了以后
211600	216600	以什么样的心识出现在我们的前面
216600	223400	就是以联华圣大师的心识出现在我们的前面
223400	224600	就是观相
224600	227600	那么这个修上世瑜伽
227600	230400	就是修上世修联华圣大师
230400	232000	修祝佛菩萨
232000	234600	这个就叫做上世瑜伽
234600	237000	那特别特别的重要
237000	238400	那么这个当中
238400	242600	就是有一个是我们五个家庭里面的
242600	243600	最后一个
243600	246800	最后一个就是磕头
246800	249800	十万边磕头
249800	251400	那么磕头
251400	253200	这个我们以前讲过
253200	257200	比如说简单的这个五家星的磕头的方法
257200	260200	是跟这个归意
260200	262400	跟十万个归意一起
262400	265400	变念 变秀 变磕头
265400	268000	但是这个是最简单的方法
268000	270400	然后比较圆满的
270400	272400	完整的方法
272600	275000	那就是五个家星一个一个的修
275000	277000	然后磕头
277000	278800	最后就是在这个上世瑜伽
278800	279800	这个时候修
279800	283800	那么这个是最最最圆满的
283800	285600	然后另外一个
285600	289800	要连这个联华圣大师的这个行众
289800	291200	那么这个行众
291200	293000	我们可以慢慢的念
293000	295000	以后就是这个长时间的
295000	298400	可以连这个短时间之间的之内
298400	300000	可能是念不完
300600	302600	可以慢慢念
302600	304600	然后需要完成的
304600	307600	就是从数量上
307600	311600	就是这个五个家星当中的这个磕头
311600	313600	那么这个完成了以后
313600	317600	五家星全部就圆满了
317600	321600	这个是我们今天讲的这个内容
321600	323600	那首先呢
323600	326600	我们修上世瑜伽的时候
326600	328600	首先大家要知道
328600	331600	上世瑜伽的这个重要性
331600	335600	上世瑜伽对我们有多么的这个重要
335600	339600	那这个大家一定要好好地去约读
339600	340600	约读什么呢
340600	343600	约读这个大圆满的前兴
343600	345600	铺线上是眼角
345600	347600	这个就是我们整个的这个修
347600	349600	五家星的过程当中
349600	353600	大家一定要约读的这个一本书
353600	355600	还有就是我们
356600	360600	像之前我们讲这个灰灯的时候
360600	363600	或者是我们这一次讲五家星的时候
363600	366600	因为有些内容我们没有讲
366600	367600	为什么没有讲呢
367600	370600	因为这个大圆满的前兴
370600	373600	这里面讲的已经讲得非常非常清楚了
373600	376600	所以就是不需要反复地去
376600	379600	不需要重复地去讲
379600	381600	但是我们修的时候
381600	383600	大家要去约读
383600	387600	然后这里面的这些修法
387600	389600	也要修这个特别的重要
389600	393600	另外一个就是这个前兴备忘颅
393600	396600	也就是这个大圆满的前兴
396600	401600	铺线上是眼角的另外一个笔记
401600	402600	那么这个笔记呢
402600	405600	也是特别特别的重要
405600	408600	我们之前也给大家讲过
408600	412600	我们所有人也在看
413600	415600	所以大家也知道这本书
415600	416600	大家也很熟悉的
416600	421600	那么这个前兴备忘颅
421600	425600	那么就是这个大圆满的前兴
425600	427600	铺线上是眼角
427600	430600	里面有些还没有讲到的
430600	433600	就是在这个备忘颅里面
433600	435600	讲得很清楚了
435600	438600	所以我们在这个修家星的过程当中
438600	441600	必须要约读的必须要学习的
441600	443600	一个就是大圆满的前兴
443600	444600	铺线上是眼角
444600	445600	另外一个就是这个
445600	448600	铺线上是眼角的笔记
448600	450600	前兴备忘颅
450600	452600	另外一个呢
452600	453600	我们也可以看
453600	456600	像大圆满新喜休息
456600	458600	大圆满休息休息
458600	459600	新喜休息
459600	462600	龙倾巴遵旨的大圆满新喜休息
462600	463600	然后呢
463600	465600	大圆满新喜休息
465600	467600	它的前面的一部分
467600	469600	前面的部分呢
469600	472600	就是讲四家星和五家星
472600	474600	然后这个里面呢
474600	476600	也讲了很多很多的
476600	480600	这个上世瑜伽的相关的内容
480600	481600	相当的重要
481600	483600	这些书大家都要去读
483600	485600	这个特别特别的重要
485600	486600	然后呢
486600	488600	这些书当中呢
488600	490600	我们就能看到
490600	493600	这个上世瑜伽的重要性
493600	494600	就是这样子
494600	496600	但是我们在这个地方呢
496600	498600	就简单的说一下
498600	500600	上世瑜伽有什么样的
500600	501600	有那么重要
501600	503600	为什么有那么重要呢
503600	505600	因为我们之前
505600	508600	比如说修了这个四家星
508600	509600	然后呢
509600	512600	我们培养了处理性
512600	514600	然后我们就真正的这个
514600	516600	走上了解脱道
516600	520600	从此以后就真正走上了解脱道
520600	521600	从此
521600	523600	自从我们有了这个处理性的时候呢
523600	527600	我们就是真正的跟这个轮回
527600	529600	就是分开了
529600	531600	跟轮回分开
531600	532600	然后呢
532600	534600	走向解脱
534600	535600	然后呢
535600	536600	我们啊
536600	538600	再下来以后呢
538600	540600	我们就修了这个
540600	543600	五家星当中的前面的这些
543600	544600	然后归
544600	546600	尤其是这个法卜地星
546600	548600	法了卜地星以后呢
548600	551600	然后我们又跟上一层楼
551600	554600	就是真正的经如了大称佛教
554600	556600	从此以后呢
556600	559600	我们不仅仅是这个
559600	562600	不仅仅是原理了轮回
562600	566600	而且也就是原理了这个小称佛教
566600	567600	然后呢
567600	570600	走上了大称佛教
570600	572600	然后就是通过这个
572600	574600	金刚撒读的修法
574600	577600	缠绘自己的这个无视依赖
577600	579600	所找的这些罪业
579600	582600	然后就是修了这个曼渣
582600	583600	修了曼渣以后呢
583600	585600	积累了这个福报
585600	587600	那么这样子我们一步一步一步地
587600	592600	就是往这个最后的
592600	595600	往这个最后的空心
595600	598600	或者是大远门的方面
598600	600600	这样子一步一步走
600600	602600	那么这些所有的这个家星啊
602600	603600	四家星 五家星呢
603600	607600	逐步地成熟了我们的这个根基
607600	609600	我们根基呢就越来越成熟
609600	611600	那越来越成熟以后呢
611600	615600	就是我们离这个开无
615600	618600	真无就越来越近
618600	621600	但是最后一个让我们真正
621600	624600	就是突破这个最后一个
624600	627600	这个的是什么呢
627600	629600	就是上师余家
629600	631600	就通过上师余家
631600	634600	通过这个上师的加持
634600	637600	最后我们就真无
637600	639600	因为我们之前
639600	641600	所做的这个一系列的
641600	643600	这些家星的修法
643600	645600	让我们的根基越来越成熟
645600	646600	越来越成熟
646600	648600	那么最后的时候呢
648600	651600	那么就是这个通过上师的
651600	652600	上师余家
652600	654600	通过上师的这个加持
654600	656600	我们就突破了最后最后
656600	658600	最后一个一个一个一个罐
658600	660600	过了这个罐
660600	663600	然后就真无了
663600	664600	所以呢
664600	666600	相当的重要
666600	669600	这个龙清巴他也讲过
669600	672600	比如说我们的这个上师余家呢
672600	676600	比大比这个这个密宗里面的
